run_name,dataset,model,method,position_mode,poison_rate,kc,seed,metric_source,final_clean_acc,final_csg,final_invalid_leak,final_single_leak,final_valid_asr,final_valid_asr_c1,final_valid_asr_c10,final_valid_asr_c2,final_valid_asr_c3,final_valid_asr_c4,final_valid_asr_c5,final_valid_asr_c6,final_valid_asr_c7,final_valid_asr_c8,final_valid_asr_c9,final_wrong_asr,best_clean_acc,best_csg,best_invalid_leak,best_single_leak,best_valid_asr,best_valid_asr_c1,best_valid_asr_c10,best_valid_asr_c2,best_valid_asr_c3,best_valid_asr_c4,best_valid_asr_c5,best_valid_asr_c6,best_valid_asr_c7,best_valid_asr_c8,best_valid_asr_c9,best_wrong_asr,final_per_config_min,final_per_config_max,final_per_config_std
cifar100_resnet18_full_dyn_pr0.05_kc10_seed0,cifar100,resnet18,full,dynamic,0.05,10,0,./results/cifar100_resnet18_full_dyn_pr0.05_kc10_seed0/summary.json,0.7612,0.9760570707070709,0.022637037037037035,0.02265,0.9987070707070709,0.998989898989899,0.9990909090909091,0.9987878787878788,0.9988888888888889,0.9987878787878788,0.9990909090909091,0.9988888888888889,0.9988888888888889,0.9962626262626263,0.9993939393939394,0.0006060606060606061,0.759,0.976609090909091,0.022150617283950617,0.02218888888888889,0.9987979797979799,0.9986868686868687,0.9985858585858586,0.9976767676767677,0.9991919191919192,0.9977777777777778,0.9997979797979798,0.9993939393939394,0.9994949494949495,0.9976767676767677,0.9996969696969698,0.0006060606060606061,0.9962626262626263,0.9993939393939394,0.0008327056099201978
cifar100_resnet18_full_dyn_pr0.05_kc10_seed1,cifar100,resnet18,full,dynamic,0.05,10,1,./results/cifar100_resnet18_full_dyn_pr0.05_kc10_seed1/summary.json,0.7627,0.9758462401795736,0.0225679012345679,0.022477777777777777,0.9984141414141414,0.997979797979798,0.9978787878787879,0.9984848484848485,0.9987878787878788,0.9985858585858586,0.9978787878787879,0.9990909090909091,0.9984848484848485,0.9983838383838384,0.9985858585858586,0.00040404040404040404,0.7616,0.9776171717171716,0.02072469135802469,0.020877777777777776,0.9984949494949493,0.9987878787878788,0.9984848484848485,0.9994949494949495,0.998989898989899,0.997979797979798,0.9984848484848485,0.9991919191919192,0.9971717171717172,0.9978787878787879,0.9984848484848485,0.0006060606060606061,0.9978787878787879,0.9990909090909091,0.00037808014691339067
cifar100_resnet18_full_dyn_pr0.05_kc10_seed2,cifar100,resnet18,full,dynamic,0.05,10,2,./results/cifar100_resnet18_full_dyn_pr0.05_kc10_seed2/summary.json,0.7653,0.9735131313131314,0.024577777777777778,0.0241,0.9980909090909093,0.9988888888888889,0.998989898989899,0.9981818181818182,0.9966666666666667,0.9984848484848485,0.997979797979798,0.9966666666666667,0.9981818181818182,0.9980808080808081,0.9987878787878788,0.0007070707070707071,0.7637,0.9740420875420877,0.024796296296296295,0.02455,0.998838383838384,0.998989898989899,0.9990909090909091,0.9994949494949495,0.9976767676767677,0.9991919191919192,0.9985858585858586,0.997979797979798,0.9986868686868687,0.9994949494949495,0.9991919191919192,0.000505050505050505,0.9966666666666667,0.998989898989899,0.0007856092668828523
cifar100_resnet18_full_dyn_pr0.05_kc6_seed0,cifar100,resnet18,full,dynamic,0.05,6,0,./results/cifar100_resnet18_full_dyn_pr0.05_kc6_seed0/summary.json,0.765,0.9812348663944409,0.015446808510638298,0.017216312056737588,0.9984511784511785,0.9984848484848485,,0.9975757575757576,0.9984848484848485,0.9982828282828283,0.9985858585858586,0.9992929292929293,,,,0.00010101010101010101,0.765,0.9823259187620891,0.014868794326241134,0.016613475177304965,0.998939393939394,0.9985858585858586,,0.9986868686868687,0.9984848484848485,0.9991919191919192,0.9995959595959596,0.9990909090909091,,,,0.00010101010101010101,0.9975757575757576,0.9992929292929293,0.0005039269207776521
cifar100_resnet18_full_dyn_pr0.05_kc6_seed1,cifar100,resnet18,full,dynamic,0.05,6,1,./results/cifar100_resnet18_full_dyn_pr0.05_kc6_seed1/summary.json,0.7648,0.9839731535210259,0.014226950354609929,0.014831560283687944,0.9988047138047138,0.9983838383838384,,0.9995959595959596,0.9994949494949495,0.9991919191919192,0.997979797979798,0.9981818181818182,,,,0.0,0.7648,0.9839731535210259,0.014226950354609929,0.014831560283687944,0.9988047138047138,0.9983838383838384,,0.9995959595959596,0.9994949494949495,0.9991919191919192,0.997979797979798,0.9981818181818182,,,,0.0,0.997979797979798,0.9995959595959596,0.0006452447103278524
cifar100_resnet18_full_dyn_pr0.05_kc6_seed2,cifar100,resnet18,full,dynamic,0.05,6,2,./results/cifar100_resnet18_full_dyn_pr0.05_kc6_seed2/summary.json,0.7604,0.9791142811089619,0.014418439716312056,0.019370567375886525,0.9984848484848484,0.9984848484848485,,0.998989898989899,0.9974747474747475,0.9974747474747475,0.9993939393939394,0.9990909090909091,,,,0.00010101010101010101,0.7606,0.9795821692098287,0.013606382978723405,0.01927304964539007,0.9988552188552188,0.9976767676767677,,0.9990909090909091,0.9994949494949495,0.9990909090909091,0.9992929292929293,0.9984848484848485,,,,0.0,0.9974747474747475,0.9993939393939394,0.0007626095389162252
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,full,dynamic,0.05,8,0,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed0/summary.json,0.7647,0.9802194499341239,0.018157996894409938,0.018682065217391304,0.9989015151515153,0.9993939393939394,,0.9990909090909091,0.9985858585858586,0.9991919191919192,0.9990909090909091,0.9985858585858586,0.9980808080808081,0.9991919191919192,,0.00010101010101010101,0.753,0.9802569169960476,0.017614518633540372,0.018152173913043478,0.998409090909091,0.9996969696969698,,0.9993939393939394,0.9996969696969698,0.9970707070707071,0.9990909090909091,0.9978787878787879,0.9970707070707071,0.9973737373737374,,0.00020202020202020202,0.9980808080808081,0.9993939393939394,0.0004116626360328514
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,full,dynamic,0.05,8,1,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed1/summary.json,0.7689,0.9793533157663592,0.018957686335403727,0.018967391304347825,0.9983207070707071,0.9993939393939394,,0.9983838383838384,0.9990909090909091,0.998989898989899,0.9983838383838384,0.9978787878787879,0.9986868686868687,0.9957575757575757,,0.00030303030303030303,0.7689,0.9793533157663592,0.018957686335403727,0.018967391304347825,0.9983207070707071,0.9993939393939394,,0.9983838383838384,0.9990909090909091,0.998989898989899,0.9983838383838384,0.9978787878787879,0.9986868686868687,0.9957575757575757,,0.00030303030303030303,0.9957575757575757,0.9993939393939394,0.0010665268838238502
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,full,dynamic,0.05,8,2,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed2/summary.json,0.7605,0.9775332125603863,0.021494565217391303,0.021467391304347827,0.9990277777777776,0.998989898989899,,0.9984848484848485,0.9995959595959596,0.998989898989899,0.9987878787878788,0.9990909090909091,0.9995959595959596,0.9986868686868687,,0.000505050505050505,0.7605,0.9775332125603863,0.021494565217391303,0.021467391304347827,0.9990277777777776,0.998989898989899,,0.9984848484848485,0.9995959595959596,0.998989898989899,0.9987878787878788,0.9990909090909091,0.9995959595959596,0.9986868686868687,,0.000505050505050505,0.9984848484848485,0.9995959595959596,0.00037434260303972444
cifar100_vgg11_full_dyn_pr0.05_kc10_seed0,cifar100,vgg11,full,dynamic,0.05,10,0,./results/cifar100_vgg11_full_dyn_pr0.05_kc10_seed0/summary.json,0.6834,0.9691527497194165,0.028998765432098766,0.028216666666666668,0.9981515151515152,0.9990909090909091,0.9984848484848485,0.9981818181818182,0.9986868686868687,0.9984848484848485,0.9982828282828283,0.9982828282828283,0.9978787878787879,0.9970707070707071,0.9970707070707071,0.00040404040404040404,0.6834,0.9691527497194165,0.028998765432098766,0.028216666666666668,0.9981515151515152,0.9990909090909091,0.9984848484848485,0.9981818181818182,0.9986868686868687,0.9984848484848485,0.9982828282828283,0.9982828282828283,0.9978787878787879,0.9970707070707071,0.9970707070707071,0.00040404040404040404,0.9970707070707071,0.9990909090909091,0.0006194645699580629
