run_name,dataset,model,kc,seed,mode,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
cifar10_resnet18_full_pr0.05_kc8_seed1,cifar10,resnet18,8,1,fixed,0.9408,0.19112500000000002,0.633,0.0155375,0.08421964285714285,-0.441875
cifar10_resnet18_full_pr0.05_kc8_seed2,cifar10,resnet18,8,2,fixed,0.9439,0.19227777777777777,0.6291111111111111,0.0137,0.0831625,-0.4368333333333333
cifar10_vgg11_full_dyn_pr0.05_kc4_seed0,cifar10,vgg11,4,0,dynamic,0.905,0.9995555555555555,0.00044444444444444447,0.0232625,0.032375,0.9671805555555555
cifar10_vgg11_full_dyn_pr0.05_kc4_seed1,cifar10,vgg11,4,1,dynamic,0.9041,0.9990833333333333,0.0012222222222222222,0.024625,0.03138333333333333,0.9677
cifar10_vgg11_full_dyn_pr0.05_kc4_seed2,cifar10,vgg11,4,2,dynamic,0.9093,0.9993055555555554,0.0008888888888888889,0.0234875,0.031358333333333335,0.9679472222222221
cifar10_vgg11_full_dyn_pr0.05_kc8_seed0,cifar10,vgg11,8,0,dynamic,0.9028,0.9993055555555554,0.0014444444444444444,0.04606875,0.07039285714285715,0.9289126984126983
cifar10_vgg11_full_dyn_pr0.05_kc8_seed1,cifar10,vgg11,8,1,dynamic,0.9063,0.9989722222222223,0.0015555555555555555,0.04753125,0.07188035714285715,0.9270918650793651
cifar10_vgg11_full_dyn_pr0.05_kc8_seed2,cifar10,vgg11,8,2,dynamic,0.9053,0.9978333333333335,0.003777777777777778,0.0486875,0.07320714285714286,0.9246261904761905
cifar10_vgg11_full_pr0.05_kc4_seed0,cifar10,vgg11,4,0,fixed,0.9098,0.9993888888888889,0.0003333333333333333,0.0227875,0.026991666666666667,0.9723972222222222
cifar10_vgg11_full_pr0.05_kc4_seed1,cifar10,vgg11,4,1,fixed,0.9055,0.9994166666666666,0.00044444444444444447,0.0229,0.026833333333333334,0.9725833333333332
cifar10_vgg11_full_pr0.05_kc4_seed2,cifar10,vgg11,4,2,fixed,0.903,0.9994999999999999,0.0003333333333333333,0.02185,0.026033333333333332,0.9734666666666666
cifar10_vgg11_full_pr0.05_kc8_seed0,cifar10,vgg11,8,0,fixed,0.9089,0.26058333333333333,0.5671111111111111,0.034825,0.12408571428571429,-0.3065277777777778
cifar10_vgg11_full_pr0.05_kc8_seed1,cifar10,vgg11,8,1,fixed,0.9036,0.24934722222222222,0.5817777777777777,0.031675,0.11916428571428571,-0.3324305555555555
cifar10_vgg11_full_pr0.05_kc8_seed2,cifar10,vgg11,8,2,fixed,0.9044,0.24618055555555557,0.5757777777777778,0.0334375,0.12013035714285714,-0.32959722222222226
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed0,gtsrb,resnet18,4,0,dynamic,0.9864608076009501,1.0,0.0,0.0008214568487727633,0.0004882554763789918,0.9991785431512272
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed1,gtsrb,resnet18,4,1,dynamic,0.9893111638954869,1.0,0.0,0.00011876484560570071,0.00015175508049617312,0.9998482449195039
