run_name,dataset,model,kc,seed,checkpoint_kind,elapsed_seconds,valid_asr,wrong_asr,single_leak,invalid_leak,csg,leakage_metric_version,single_hit,single_total,invalid_hit,invalid_total,single_leak_legacy,invalid_leak_legacy,single_legacy_total,invalid_legacy_total,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,clean_acc,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,4,0,last,5.937378406524658,0.9992929292929293,0.0,0.0038125,0.004083333333333333,0.995209595959596,2,305,80000,490,120000,0.008684895833333333,0.007795138888888889,76800,115200,0.9993939393939394,0.998989898989899,0.9991919191919192,0.9995959595959596,0.765,,,,
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,4,1,last,5.973183870315552,0.9996464646464647,0.0,0.0056125,0.004666666666666667,0.9940339646464647,2,449,80000,560,120000,0.0112109375,0.008637152777777778,76800,115200,0.9996969696969698,0.9997979797979798,0.9995959595959596,0.9994949494949495,0.7665,,,,
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,4,2,last,5.921208620071411,0.9994444444444445,0.0,0.0054875,0.005666666666666667,0.9937777777777778,2,439,80000,680,120000,0.0108984375,0.010277777777777778,76800,115200,0.9994949494949495,0.9994949494949495,0.9994949494949495,0.9992929292929293,0.7611,,,,
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,last,18.347408771514893,0.9989015151515153,0.00010101010101010101,0.0073,0.009794642857142858,0.9891068722943724,2,1168,160000,5485,560000,0.018688858695652174,0.018157996894409938,147200,515200,0.9993939393939394,0.9990909090909091,0.9985858585858586,0.9991919191919192,0.7647,0.9990909090909091,0.9985858585858586,0.9980808080808081,0.9991919191919192
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,last,18.398089170455933,0.9983207070707071,0.00030303030303030303,0.0071625,0.009969642857142857,0.9883510642135642,2,1146,160000,5583,560000,0.018967391304347825,0.01895380434782609,147200,515200,0.9993939393939394,0.9983838383838384,0.9990909090909091,0.998989898989899,0.7689,0.9983838383838384,0.9978787878787879,0.9986868686868687,0.9957575757575757
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,last,18.494374752044678,0.9990277777777776,0.000505050505050505,0.0103375,0.0129875,0.9860402777777776,2,1654,160000,7273,560000,0.021474184782608697,0.021492624223602486,147200,515200,0.998989898989899,0.9984848484848485,0.9995959595959596,0.998989898989899,0.7605,0.9987878787878788,0.9990909090909091,0.9995959595959596,0.9986868686868687
cifar100_resnet18_full_pr0.05_kc4_seed0,cifar100,resnet18,4,0,last,55.66912293434143,0.999469696969697,0.0,0.003875,0.003975,0.9954946969696971,2,310,80000,477,120000,0.0092578125,0.008802083333333334,76800,115200,0.9994949494949495,0.9995959595959596,0.9990909090909091,0.9996969696969698,0.7632,,,,
cifar100_resnet18_full_pr0.05_kc4_seed1,cifar100,resnet18,4,1,last,6.5582451820373535,0.998939393939394,0.0,0.0048,0.004441666666666667,0.994139393939394,2,384,80000,533,120000,0.009921875,0.009244791666666667,76800,115200,0.9996969696969698,0.9988888888888889,0.9980808080808081,0.9990909090909091,0.7645,,,,
cifar100_resnet18_full_pr0.05_kc4_seed2,cifar100,resnet18,4,2,last,6.580512762069702,0.999469696969697,0.0,0.003725,0.003841666666666667,0.9956280303030304,2,298,80000,461,120000,0.008359375,0.00806423611111111,76800,115200,0.9997979797979798,0.9994949494949495,0.9992929292929293,0.9992929292929293,0.7685,,,,
cifar100_resnet18_full_pr0.05_kc8_seed0,cifar100,resnet18,8,0,last,24.344889640808105,0.5872348484848484,0.030404040404040406,0.013525,0.254475,0.3327598484848484,2,2164,160000,142506,560000,0.025163043478260868,0.2621583850931677,147200,515200,0.5954545454545455,0.6067676767676767,0.584949494949495,0.57,0.7682,0.5852525252525252,0.5676767676767677,0.5912121212121212,0.5965656565656565
cifar100_resnet18_full_pr0.05_kc8_seed1,cifar100,resnet18,8,1,last,18.397409200668335,0.5698737373737373,0.034444444444444444,0.0146875,0.24791964285714285,0.3219540945165944,2,2350,160000,138835,560000,0.026684782608695654,0.256541149068323,147200,515200,0.5777777777777777,0.5748484848484848,0.5758585858585858,0.5878787878787879,0.7654,0.5803030303030303,0.5566666666666666,0.5618181818181818,0.5438383838383838
cifar100_resnet18_full_pr0.05_kc8_seed2,cifar100,resnet18,8,2,last,18.466583013534546,0.5692045454545455,0.03484848484848485,0.014775,0.2478357142857143,0.3213688311688312,2,2364,160000,138788,560000,0.025991847826086958,0.2568381211180124,147200,515200,0.5925252525252526,0.5512121212121213,0.5475757575757576,0.5676767676767677,0.764,0.5664646464646464,0.5706060606060606,0.5766666666666667,0.5809090909090909
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,last,2.6253461837768555,0.9994949494949495,0.0,0.0056,0.005833333333333334,0.9936616161616162,2,448,80000,700,120000,0.0124609375,0.011519097222222222,76800,115200,0.9993939393939394,0.9995959595959596,0.9995959595959596,0.9993939393939394,0.6835,,,,
