dataset,model,num_seeds,clean_acc_mean,clean_acc_std,valid_asr_mean,valid_asr_std,wrong_asr_mean,wrong_asr_std,single_leak_mean,single_leak_std,invalid_leak_mean,invalid_leak_std,csg_mean,csg_std
cifar10,resnet18,3,0.9405000000000001,0.0036592348927063844,0.9998657407407409,4.877617478171325e-05,0.0004074074074074074,0.00016972502573910518,0.021641666666666667,0.001415543365931731,0.0362827380952381,0.0011581349546271609,0.9635830026455027,0.0011633299508733346
cifar10,vgg11,3,0.9076666666666666,0.001115048578911852,0.9991666666666666,9.72222222221375e-05,0.0014814814814814818,0.00042065987746668697,0.0506625,0.0022713139781853136,0.07821428571428572,0.0027859981540348734,0.920952380952381,0.002872472625786109
cifar100,resnet18,3,0.7614666666666666,0.001985782801147542,0.9987205387205388,0.0005434184625869094,0.000707070707070707,0.00046288643383392324,0.010718749999999999,0.0004896985679987228,0.01193095238095238,0.0016395700163260403,0.9866568482443482,0.0020472254731885
cifar100,vgg11,3,0.6779999999999999,0.003874274125562125,0.9986153198653199,0.00017960091156012255,0.00030303030303030303,0.00010101010101010101,0.013347916666666668,0.0022518077228825145,0.017767857142857144,0.00245800636301297,0.9808474627224628,0.002623927596583897
gtsrb,resnet18,3,0.9855370810240168,0.0015216189290472295,1.0,0.0,0.0,0.0,0.0010210477698601214,0.00043328186900698707,0.0014412019756437809,0.0005397609749352298,0.9985587980243563,0.000539760974935196
gtsrb,vgg11,3,0.9720770651887042,0.002851822150275049,0.999085406932333,0.000692182493586328,0.0005502261400628007,0.0005762754457561556,0.0040841910794404855,0.0004057295960438893,0.00603674169588659,0.0002998509809140379,0.9930486652364464,0.0009441149473525117
