run_name,dataset,model,kc,seed,checkpoint_kind,elapsed_seconds,valid_asr,wrong_asr,single_leak,invalid_leak,csg,leakage_metric_version,single_hit,single_total,invalid_hit,invalid_total,single_leak_legacy,invalid_leak_legacy,single_legacy_total,invalid_legacy_total,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8,valid_asr_c9,valid_asr_c10,clean_acc
cifar10_resnet18_full_dyn_pr0.05_kc10_seed0,cifar10,resnet18,10,0,last,172.30096793174744,0.9997222222222222,0.0005555555555555556,0.02598,0.039024444444444445,0.9606977777777778,2,5196,200000,35122,900000,,,0,0,0.9997777777777778,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9994444444444445,0.9995555555555555,0.9995555555555555,0.9998888888888889,0.9997777777777778,0.9996666666666667,0.9412
cifar10_resnet18_full_dyn_pr0.05_kc10_seed1,cifar10,resnet18,10,1,last,172.45776104927063,0.9996666666666668,0.0007777777777777777,0.02581,0.03997,0.9596966666666669,2,5162,200000,35973,900000,,,0,0,0.9996666666666667,0.9998888888888889,0.9998888888888889,0.9998888888888889,0.9994444444444445,0.9992222222222222,0.9996666666666667,0.9997777777777778,0.9996666666666667,0.9995555555555555,0.9388
cifar10_resnet18_full_dyn_pr0.05_kc10_seed2,cifar10,resnet18,10,2,last,26.396055698394775,0.9997333333333334,0.0007777777777777777,0.022825,0.03622444444444444,0.963508888888889,2,4565,200000,32602,900000,,,0,0,0.9995555555555555,0.9998888888888889,0.9996666666666667,0.9998888888888889,0.9998888888888889,0.9998888888888889,0.9992222222222222,0.9997777777777778,0.9996666666666667,0.9998888888888889,0.9432
cifar10_vgg11_full_dyn_pr0.05_kc10_seed0,cifar10,vgg11,10,0,last,63.765012979507446,0.9988666666666667,0.0017777777777777779,0.049615,0.07646222222222222,0.9224044444444445,2,9923,200000,68816,900000,,,0,0,0.999,0.9994444444444445,0.9987777777777778,0.9994444444444445,0.9985555555555555,0.999,0.9982222222222222,0.9986666666666667,0.9985555555555555,0.999,0.9048
cifar10_vgg11_full_dyn_pr0.05_kc10_seed1,cifar10,vgg11,10,1,last,10.598445415496826,0.9988111111111113,0.0022222222222222222,0.053995,0.08192555555555556,0.9168855555555557,2,10799,200000,73733,900000,,,0,0,0.9987777777777778,0.9994444444444445,0.9995555555555555,0.9977777777777778,0.999,0.9992222222222222,0.9984444444444445,0.9984444444444445,0.9986666666666667,0.9987777777777778,0.9012
cifar10_vgg11_full_dyn_pr0.05_kc10_seed2,cifar10,vgg11,10,2,last,10.951504707336426,0.9989444444444443,0.001888888888888889,0.052885,0.08013777777777778,0.9188066666666665,2,10577,200000,72124,900000,,,0,0,0.9995555555555555,0.9985555555555555,0.9988888888888889,0.9986666666666667,0.9996666666666667,0.9988888888888889,0.9986666666666667,0.9991111111111111,0.9993333333333333,0.9981111111111111,0.9056
