dataset,model,kc,category,num_seeds,pooled_target_leakage_rate_mean,pooled_target_leakage_rate_std,mean_pair_target_leakage_mean,mean_pair_target_leakage_std,p95_pair_target_leakage_mean,p95_pair_target_leakage_std,max_pair_target_leakage_mean,max_pair_target_leakage_std,pooled_prediction_change_rate_mean,pooled_prediction_change_rate_std,pooled_raw_target_rate_mean,pooled_raw_target_rate_std,worst_target_changed_rate_mean,worst_target_changed_rate_std
cifar10,resnet18,4,seen_p1_unseen_p2,3,0.028997222222222223,0.006334409630768317,0.028997222222222223,0.006334409630768317,0.05649999999999999,0.03792019382861853,0.06566666666666666,0.05032299010723959,0.05428333333333333,0.007956945777816452,0.39849444444444443,0.001411567620820236,0.010930555555555554,0.0032595195340099736
cifar10,resnet18,4,unseen_p1_seen_p2,3,0.04279444444444445,0.015917291290826998,0.04279444444444445,0.015917291290826998,0.07407333333333332,0.043883578173769436,0.08463333333333334,0.049840579183365576,0.06816666666666667,0.013090414750241235,0.4121694444444445,0.015585183342354834,0.018574999999999998,0.006819798587772059
cifar10,resnet18,4,unseen_p1_unseen_p2,3,0.04135833333333333,0.003909470339231818,0.04135833333333333,0.003909470339231818,0.06509333333333332,0.010207420503405028,0.06993333333333333,0.008187999348640262,0.07354722222222222,0.005472166525379278,0.40605555555555556,0.0027360420183041687,0.020369444444444443,0.0018275350227175565
cifar10,resnet18,8,seen_p1_unseen_p2,3,0.038650000000000004,0.00294626646980736,0.038650000000000004,0.00294626646980736,0.044814999999999994,0.003518817272891559,0.0463,0.004158124577258359,0.044158333333333334,0.003786333245297412,0.7991916666666666,0.001704181947771721,0.00833611111111111,0.0005014792931731893
cifar10,resnet18,8,unseen_p1_seen_p2,3,0.043658333333333334,0.006030357230988337,0.043658333333333334,0.006030357230988337,0.05992666666666666,0.011004164363246003,0.06366666666666666,0.01591047872734612,0.04811666666666667,0.006824221567329129,0.8014611111111111,0.0021673449792912734,0.012008333333333333,0.0021540820421804847
cifar10,resnet18,8,unseen_p1_unseen_p2,3,0.05584444444444444,0.008694224349361882,0.05584444444444444,0.008694224349361882,0.06779833333333334,0.013459277779039016,0.0702,0.015189140857862896,0.060399999999999995,0.009450323333680764,0.8029638888888889,0.0017569768332543658,0.017525,0.0039344719397200485
cifar10,vgg11,4,seen_p1_unseen_p2,3,0.07540555555555556,0.020738233500076704,0.07540555555555556,0.020738233500076704,0.11865333333333333,0.022792299320896384,0.12576666666666667,0.017756782741626752,0.14716666666666667,0.025435835667638497,0.39934166666666665,0.01253741345378349,0.05338888888888889,0.029091071479318446
cifar10,vgg11,4,unseen_p1_seen_p2,3,0.10772777777777778,0.02450722163030802,0.10772777777777778,0.02450722163030802,0.19044333333333333,0.03355103438544531,0.19436666666666666,0.031655699855370964,0.178025,0.03373435851538376,0.4348916666666667,0.02052521992032672,0.06742777777777778,0.03364955870328652
cifar10,vgg11,4,unseen_p1_unseen_p2,3,0.1528861111111111,0.03887252344141944,0.1528861111111111,0.038872523441419435,0.24267,0.056238916908133985,0.2474,0.05977181610090159,0.24131388888888888,0.049907658016618096,0.45710833333333334,0.0304236795568481,0.10929444444444444,0.04481877577575092
cifar10,vgg11,8,seen_p1_unseen_p2,3,0.09702777777777777,0.008385078236786884,0.09702777777777777,0.008385078236786884,0.13054666666666664,0.01981044694935814,0.1469,0.025215669731339665,0.10753333333333333,0.008108243404777083,0.8033,0.0035327731474170693,0.025777777777777778,0.00741847044232864
