run_name,dataset,model,kc,seed,category,num_pairs,total_pair_sample_instances,pooled_prediction_change_rate,pooled_raw_target_rate,pooled_target_leakage_rate,mean_pair_target_leakage,std_pair_target_leakage,median_pair_target_leakage,p95_pair_target_leakage,max_pair_target_leakage,mean_pair_prediction_change,std_pair_prediction_change,max_pair_prediction_change,mean_pair_raw_target_rate,std_pair_raw_target_rate,max_pair_raw_target_rate,worst_pair_id,worst_pair_p1,worst_pair_p2,worst_target,worst_target_changed_rate
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,unseen_p1_unseen_p2,16,202080,0.3224069675376089,0.15987232779097388,0.05703681710213777,0.05703681710213777,0.06667030176232847,0.025217735550277117,0.16828978622327792,0.2323040380047506,0.3224069675376089,0.15688383275162704,0.5377672209026129,0.15987232779097388,0.07627443063211821,0.3358669833729216,unseen_p1_unseen_p2_10,y26_x18,y10_x10,2,0.03503068091844814
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,seen_p1_unseen_p2,16,202080,0.14962885985748217,0.16712688044338875,0.030304829770387964,0.030304829770387964,0.04815314824287811,0.006532066508313539,0.12286223277909739,0.15771971496437054,0.14962885985748217,0.16202890102964354,0.52486144101346,0.16712688044338875,0.02771284119362533,0.24592240696753762,seen_p1_unseen_p2_16,y2_x26,y18_x10,3,0.013727236737925573
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,unseen_p1_seen_p2,16,202080,0.1781769596199525,0.16560273159144892,0.037366389548693583,0.03736638954869359,0.07812804530501503,0.010490894695170231,0.1405581947743468,0.3156769596199525,0.1781769596199525,0.15690747307287564,0.40427553444180525,0.16560273159144892,0.07379747303206287,0.41591448931116387,unseen_p1_seen_p2_16,y10_x10,y18_x26,3,0.020719517022961202
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,unseen_p1_unseen_p2,16,202080,0.34580859065716546,0.1287064528899446,0.02820665083135392,0.02820665083135392,0.04282470449982576,0.007205067300079176,0.12112034837688045,0.13365003958828187,0.34580859065716546,0.21928236564702336,0.728978622327791,0.1287064528899446,0.05316678816238586,0.2367379255740301,unseen_p1_unseen_p2_08,y26_x18,y10_x10,2,0.011495447347585114
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,seen_p1_unseen_p2,16,202080,0.1342191211401425,0.14490795724465558,0.008036421219319082,0.008036421219319082,0.01729254338096367,0.003958828186856691,0.023891528107680127,0.07228820269200317,0.1342191211401425,0.16983424283257545,0.5441805225653207,0.14490795724465558,0.032752021063433494,0.1826603325415677,seen_p1_unseen_p2_09,y10_x2,y10_x10,2,0.0047753365003958825
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,unseen_p1_seen_p2,16,202080,0.196229216152019,0.1591696357878068,0.04110253365003959,0.04110253365003959,0.08317887424999844,0.02181314330958036,0.13974663499604117,0.3452098178939034,0.196229216152019,0.15736305658011454,0.46429136975455265,0.15916963578780682,0.08801295562328443,0.44806017418844024,unseen_p1_seen_p2_15,y10_x10,y18_x26,2,0.026915083135391923
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,unseen_p1_unseen_p2,16,202080,0.3744012272367379,0.1077444576405384,0.027494061757719714,0.027494061757719714,0.057004900839248945,0.005898653998416469,0.13159144893111638,0.2199524940617577,0.3744012272367379,0.18532781160332046,0.62486144101346,0.1077444576405384,0.08368684487752603,0.3166270783847981,unseen_p1_unseen_p2_14,y26_x18,y10_x10,2,0.019982185273159144
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,seen_p1_unseen_p2,16,202080,0.19148851939825812,0.34732284243863815,0.09825811559778305,0.09825811559778305,0.2061395474370068,0.01773555027711797,0.39554631828978626,0.81187648456057,0.19148851939825812,0.23250513787199895,0.81187648456057,0.34732284243863815,0.15097562654889646,0.8821060965954077,seen_p1_unseen_p2_07,y2_x7,y26_x16,4,0.05324623911322249
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,unseen_p1_seen_p2,16,202080,0.15114311163895486,0.3075960015835313,0.048000791765637374,0.048000791765637374,0.06525090126760157,0.01983372921615202,0.20449326999208234,0.21583531274742676,0.15114311163895486,0.16373469996284454,0.6996041171813143,0.3075960015835313,0.09821912980803792,0.4825811559778306,unseen_p1_seen_p2_07,y7_x21,y26_x7,5,0.026628068091844814
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,unseen_p1_unseen_p2,16,202080,0.387603919239905,0.2963974663499604,0.1322149643705463,0.1322149643705463,0.10723402803485764,0.09556611243072051,0.30995645288994456,0.37878068091844813,0.387603919239905,0.24030415010569564,0.747980997624703,0.2963974663499604,0.11281631082871005,0.5188440221694378,unseen_p1_unseen_p2_05,y21_x16,y16_x12,5,0.08679235946159937
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,seen_p1_unseen_p2,16,202080,0.26195071258907365,0.38277414885193983,0.15692794932699922,0.15692794932699922,0.22656221553121472,0.07581155977830561,0.489390340459224,0.8853523357086303,0.26195071258907365,0.2662215664131584,0.8853523357086303,0.38277414885193983,0.16508617196875836,0.9544734758511481,seen_p1_unseen_p2_16,y2_x21,y26_x12,4,0.05800178147268409
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,unseen_p1_seen_p2,16,202080,0.21841349960411718,0.3123169041963579,0.0801811163895487,0.0801811163895487,0.1530796325739365,0.017379255740300872,0.40910530482977037,0.5499604117181315,0.21841349960411718,0.25128346579942057,0.7432304038004751,0.3123169041963579,0.14116815539845634,0.6034045922406968,unseen_p1_seen_p2_16,y16_x7,y12_x26,6,0.034946555819477435
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,unseen_p1_unseen_p2,16,202080,0.46316805225653207,0.27952790973871733,0.12262965162311956,0.12262965162311955,0.11058736739615613,0.07474267616785432,0.2879651623119557,0.33689627870150435,0.46316805225653207,0.21356429279846867,0.7747426761678543,0.27952790973871733,0.15938695508535905,0.5072842438638163,unseen_p1_unseen_p2_16,y12_x21,y12_x16,5,0.047758313539192396
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,seen_p1_unseen_p2,16,202080,0.21908650039588282,0.35177652414885197,0.12030878859857483,0.12030878859857483,0.22877456140206687,0.023990498812351546,0.419972288202692,0.9257323832145685,0.21908650039588282,0.25048224001317326,0.9257323832145685,0.35177652414885197,0.17193391011829592,0.9814726840855107,seen_p1_unseen_p2_12,y2_x7,y26_x16,5,0.07570764053840064
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,unseen_p1_seen_p2,16,202080,0.259110253365004,0.23263064133016628,0.02361935866983373,0.02361935866983373,0.029068773937526955,0.016983372921615204,0.06460807600950118,0.12209026128266033,0.25911025336500393,0.27377648649878095,0.7500395882818686,0.23263064133016628,0.11538913941266153,0.31805225653206654,unseen_p1_seen_p2_05,y16_x7,y26_x2,5,0.012866191607284245
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,unseen_p1_unseen_p2,16,202080,0.4144497228820269,0.1890934283452098,0.041013460015835314,0.041013460015835314,0.03930857110310331,0.028859857482185274,0.10075217735550278,0.1051464766429137,0.4144497228820269,0.2729270750455181,0.8494061757719715,0.1890934283452098,0.13706623414262156,0.35051464766429136,unseen_p1_unseen_p2_01,y7_x7,y12_x7,5,0.022496041171813145
