dataset,model,method,position_mode,poison_rate,kc,num_seeds,best_clean_acc_mean,best_clean_acc_std,best_clean_acc_count,best_csg_mean,best_csg_std,best_csg_count,best_invalid_leak_mean,best_invalid_leak_std,best_invalid_leak_count,best_single_leak_mean,best_single_leak_std,best_single_leak_count,best_valid_asr_mean,best_valid_asr_std,best_valid_asr_count,best_valid_asr_c1_mean,best_valid_asr_c1_std,best_valid_asr_c1_count,best_valid_asr_c2_mean,best_valid_asr_c2_std,best_valid_asr_c2_count,best_valid_asr_c3_mean,best_valid_asr_c3_std,best_valid_asr_c3_count,best_valid_asr_c4_mean,best_valid_asr_c4_std,best_valid_asr_c4_count,best_wrong_asr_mean,best_wrong_asr_std,best_wrong_asr_count,final_clean_acc_mean,final_clean_acc_std,final_clean_acc_count,final_csg_mean,final_csg_std,final_csg_count,final_invalid_leak_mean,final_invalid_leak_std,final_invalid_leak_count,final_single_leak_mean,final_single_leak_std,final_single_leak_count,final_valid_asr_mean,final_valid_asr_std,final_valid_asr_count,final_valid_asr_c1_mean,final_valid_asr_c1_std,final_valid_asr_c1_count,final_valid_asr_c2_mean,final_valid_asr_c2_std,final_valid_asr_c2_count,final_valid_asr_c3_mean,final_valid_asr_c3_std,final_valid_asr_c3_count,final_valid_asr_c4_mean,final_valid_asr_c4_std,final_valid_asr_c4_count,final_wrong_asr_mean,final_wrong_asr_std,final_wrong_asr_count
gtsrb,resnet18,full,dynamic,0.1,3,3,0.9858273950910531,0.00369763877397803,3,0.9994544544544545,0.00037397134821268445,3,0.0005455455455455455,0.00037397134821266553,3,0.0003853853853853854,0.00025847350017368085,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,,,0,0.0,0.0,3,0.9869094747954605,0.002424061758396456,3,0.9991391391391392,0.0006830319162855784,3,0.0008608608608608609,0.0006830319162855647,3,0.0006556556556556556,0.00047961947379610145,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,,,0,0.0,0.0,3
gtsrb,resnet18,full,dynamic,0.1,4,3,0.9857482185273159,0.001047407486565586,3,0.9990792905581638,0.0003563759756692719,3,0.00090245174752217,0.00037176371001766993,3,0.0009115805946791863,0.00034064529813834495,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.9855898653998416,0.0010292953285827749,3,0.9989188836724048,0.0004334844136013708,3,0.001069379238393323,0.00044513912661847395,3,0.0010641627543035994,0.0004066411627881743,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
gtsrb,vgg11,full,dynamic,0.1,3,3,0.9719451042491423,0.0026935552013033553,3,0.9990009706676374,0.000477502185204194,3,0.000960960960960961,0.00046546546546546546,3,0.000925925925925926,0.00041238933043272305,3,0.9999719416386084,4.859850750750718e-05,3,1.0,0.0,3,1.0,0.0,3,0.9999158249158249,0.00014579552252264974,3,,,0,8.417508417508418e-05,0.00014579552252263277,3,0.9736342042755345,0.000837925989252431,3,0.9987737737737737,0.0004948884563757037,3,0.001096096096096096,0.0004431337706718831,3,0.0011811811811811813,0.0004880072376275682,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,,,0,0.0,0.0,3
gtsrb,vgg11,full,dynamic,0.1,4,3,0.9745315386645553,0.0020590981366892945,3,0.9986880542514346,0.00014791285215190445,3,0.0012728221178925404,8.293225401974248e-05,3,0.0011541471048513302,0.00028853511842710946,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.9744523621008182,0.0020606198253832636,3,0.9986332811684925,0.00010963927781422529,3,0.0013275952008346373,5.872890062179283e-05,3,0.0011971830985915493,0.0002760088266738227,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
