dataset,model,kc,num_seeds,checkpoint_kind,clean_acc_mean,clean_acc_std,clean_acc_count,csg_mean,csg_std,csg_count,invalid_hit_mean,invalid_hit_std,invalid_hit_count,invalid_leak_mean,invalid_leak_std,invalid_leak_count,invalid_legacy_total_mean,invalid_legacy_total_std,invalid_legacy_total_count,invalid_total_mean,invalid_total_std,invalid_total_count,leakage_metric_version_mean,leakage_metric_version_std,leakage_metric_version_count,single_hit_mean,single_hit_std,single_hit_count,single_leak_mean,single_leak_std,single_leak_count,single_legacy_total_mean,single_legacy_total_std,single_legacy_total_count,single_total_mean,single_total_std,single_total_count,valid_asr_mean,valid_asr_std,valid_asr_count,valid_asr_c1_mean,valid_asr_c1_std,valid_asr_c1_count,valid_asr_c10_mean,valid_asr_c10_std,valid_asr_c10_count,valid_asr_c2_mean,valid_asr_c2_std,valid_asr_c2_count,valid_asr_c3_mean,valid_asr_c3_std,valid_asr_c3_count,valid_asr_c4_mean,valid_asr_c4_std,valid_asr_c4_count,valid_asr_c5_mean,valid_asr_c5_std,valid_asr_c5_count,valid_asr_c6_mean,valid_asr_c6_std,valid_asr_c6_count,valid_asr_c7_mean,valid_asr_c7_std,valid_asr_c7_count,valid_asr_c8_mean,valid_asr_c8_std,valid_asr_c8_count,valid_asr_c9_mean,valid_asr_c9_std,valid_asr_c9_count,wrong_asr_mean,wrong_asr_std,wrong_asr_count
cifar10,resnet18,10,3,last,0.9410666666666667,0.002203028218914477,3,0.9613011111111112,0.001976428066293949,3,34565.666666666664,1753.0089370374965,3,0.03840629629629629,0.0019477877078194418,3,0.0,0.0,3,900000.0,0.0,3,2.0,0.0,3,4974.333333333333,354.90045552708625,3,0.024871666666666667,0.0017745022776354301,3,0.0,0.0,3,200000.0,0.0,3,0.9997074074074075,3.571722504063205e-05,3,0.9996666666666667,0.00011111111111111738,3,0.9997037037037038,0.000169725025739139,3,0.9998888888888889,0.0,3,0.9997777777777778,0.00011111111111111738,3,0.9998888888888889,0.0,3,0.9995925925925926,0.00025660011963984816,3,0.9995555555555555,0.00033333333333335213,3,0.9994814814814815,0.00023129622216290778,3,0.9998148148148148,6.415002990999409e-05,3,0.9997037037037038,6.415002990992999e-05,3,0.0007037037037037037,0.00012830005981991682,3
cifar10,vgg11,10,3,last,0.9038666666666667,0.0023437861108329206,3,0.9193655555555555,0.0028015712081915054,3,71557.66666666667,2506.9448205601443,3,0.07950851851851852,0.002785494245066827,3,0.0,0.0,3,900000.0,0.0,3,2.0,0.0,3,10433.0,455.4075098195022,3,0.052165,0.0022770375490975122,3,0.0,0.0,3,200000.0,0.0,3,0.9988740740740741,6.697459748140242e-05,3,0.9991111111111111,0.0004006168083848795,3,0.9986296296296296,0.00046259244432583335,3,0.9991481481481481,0.0005132002392796963,3,0.9990740740740741,0.00042065987746666664,3,0.9986296296296296,0.0008339503888294793,3,0.9990740740740741,0.0005592469952052723,3,0.9990370370370371,0.00016972502573909054,3,0.9984444444444445,0.00022222222222223476,3,0.9987407407407407,0.00033945005147816893,3,0.9988518518518519,0.00042065987746666664,3,0.0019629629629629632,0.00023129622216290358,3
