dataset,model,kc,poison_rate,seed,adaptive_run,fixed_run,fixed_clean_acc_pct,adaptive_clean_acc_pct,clean_acc_improvement_pp,fixed_valid_asr_pct,adaptive_valid_asr_pct,valid_asr_improvement_pp,fixed_wrong_asr_pct,adaptive_wrong_asr_pct,wrong_asr_improvement_pp,fixed_single_leak_pct,adaptive_single_leak_pct,single_leak_improvement_pp,fixed_invalid_leak_pct,adaptive_invalid_leak_pct,invalid_leak_improvement_pp,fixed_csg_pct,adaptive_csg_pct,csg_improvement_pp
cifar10,vgg11,8,0.05,0,cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr005_seed0,cifar10_vgg11_full_dyn_pr0.05_kc8_seed0,90.28,90.28,0.0,99.91527777777777,99.85694444444445,-0.05833333333332691,0.1111111111111111,0.33333333333333337,-0.22222222222222227,4.6293750000000005,4.343125,0.2862500000000004,6.863392857142856,6.527857142857142,0.3355357142857146,93.05188492063492,93.32908730158731,0.27720238095239047
cifar100,resnet18,8,0.05,0,cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr005_seed0,cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,76.12,75.33999999999999,-0.7800000000000029,99.9191919191919,99.88383838383838,-0.035353535353532806,0.030303030303030304,0.0202020202020202,0.0101010101010101,0.858125,0.851875,0.0062500000000000056,1.0321428571428573,1.0767857142857142,-0.04464285714285716,98.88704906204904,98.80705266955266,-0.07999639249638424
cifar100,vgg11,8,0.05,0,cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr005_seed0,cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,68.04,67.31,-0.7299999999999973,99.78661616161617,99.75,-0.03661616161615422,0.0202020202020202,0.050505050505050504,-0.030303030303030304,1.105,1.3025,-0.19749999999999993,1.44875,1.6689285714285715,-0.2201785714285715,98.33786616161616,98.08107142857143,-0.25679473304472955
gtsrb,resnet18,8,0.05,0,gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr005_seed0,gtsrb_resnet18_full_dyn_pr0.05_kc8_seed0,98.65399841646872,98.5827395091053,-0.0712589073634251,100.0,100.0,0.0,0.0,0.0,0.0,0.058887569279493276,0.10144497228820269,-0.04255740300870942,0.07239000113109376,0.13629679900463748,-0.06390679787354372,99.9276099988689,99.86370320099536,-0.06390679787354747
gtsrb,vgg11,8,0.05,0,gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr005_seed0,gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,97.11797307996834,97.55344418052256,0.43547110055423,99.97082550125313,99.97720001869558,0.006374517442453431,0.0,0.03284072249589491,-0.03284072249589491,0.28800475059382424,0.27216943784639747,0.015835312747426764,0.3666157674471214,0.4026693812917091,-0.036053613844587704,99.60420973380602,99.57453063740388,-0.029679096402135396
cifar10,resnet18,8,0.05,1,cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed1,cifar10_resnet18_full_dyn_pr0.05_kc8_seed1,94.06,93.96,-0.10000000000000009,99.98472222222223,99.98888888888891,0.004166666666671759,0.044444444444444446,0.022222222222222223,0.022222222222222223,2.044375,2.033125,0.011250000000000149,3.200535714285714,3.16,0.040535714285713786,96.78418650793652,96.82888888888891,0.04470238095238832
cifar10,vgg11,8,0.05,1,cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr005_seed1,cifar10_vgg11_full_dyn_pr0.05_kc8_seed1,90.63,90.72,0.09000000000000119,99.86388888888888,99.88194444444444,0.01805555555556282,0.2,0.2222222222222222,-0.02222222222222222,4.7,4.445625000000001,0.25437499999999974,7.32875,6.726964285714286,0.6017857142857144,92.5351388888889,93.15498015873015,0.6198412698412703
cifar100,resnet18,8,0.05,1,cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr005_seed1,cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,76.08,74.97,-1.1099999999999999,99.80303030303031,99.86363636363636,0.060606060606060996,0.030303030303030304,0.0202020202020202,0.0101010101010101,0.6956249999999999,0.7587499999999999,-0.06312499999999999,0.9175000000000001,1.09625,-0.1787499999999999,98.8855303030303,98.76738636363636,-0.1181439393939332
cifar100,vgg11,8,0.05,1,cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr005_seed1,cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,68.24,67.10000000000001,-1.1399999999999966,99.82323232323233,99.76388888888889,-0.059343434343450685,0.0101010101010101,0.050505050505050504,-0.0404040404040404,1.036875,1.183125,-0.14625000000000002,1.3705357142857142,1.5767857142857142,-0.20625000000000002,98.45269660894662,98.18710317460318,-0.2655934343434474
gtsrb,resnet18,8,0.05,1,gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr005_seed1,gtsrb_resnet18_full_dyn_pr0.05_kc8_seed1,98.55898653998416,98.77276326207442,0.21377672209026422,99.99793206075533,100.0,0.0020679392446654177,0.0,0.0,0.0,0.07472288202692003,0.06631037212984955,0.008412509897070469,0.09812238434566226,0.09741545074086642,0.0007069336047958296,99.89980967640967,99.90258454925913,0.00277487284946476
gtsrb,vgg11,8,0.05,1,gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr005_seed1,gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,97.23673792557403,97.17339667458432,-0.06334125098971244,99.92630760033458,99.97711502521223,0.05080742487764134,0.02506265664160401,0.008210180623973728,0.01685247601763028,0.3572842438638163,0.34491290577988915,0.01237133808392717,0.47307996832937455,0.5012159258002489,-0.02813595747087434,99.45322763200521,99.47589909941198,0.022671467406765178
cifar10,resnet18,8,0.05,2,cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed2,cifar10_resnet18_full_dyn_pr0.05_kc8_seed2,93.95,94.03,0.08000000000000229,99.98194444444445,99.9888888888889,0.00694444444444553,0.03333333333333333,0.022222222222222223,0.01111111111111111,2.285625,1.970625,0.315,3.4771428571428573,3.1289285714285713,0.3482142857142857,96.50480158730159,96.85996031746032,0.35515873015873334
cifar10,vgg11,8,0.05,2,cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr005_seed2,cifar10_vgg11_full_dyn_pr0.05_kc8_seed2,90.53,90.02,-0.5099999999999993,99.90416666666667,99.92916666666666,0.024999999999986144,0.14444444444444443,0.14444444444444443,0.0,4.855625,4.635,0.220625,7.441428571428571,6.892678571428572,0.5487499999999992,92.46273809523811,93.03648809523808,0.573749999999984
cifar100,resnet18,8,0.05,2,cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr005_seed2,cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,76.25,75.0,-1.2499999999999956,99.87752525252527,99.86111111111111,-0.01641414141415609,0.0404040404040404,0.0202020202020202,0.0202020202020202,1.0093750000000001,0.9093749999999999,0.10000000000000009,1.2644642857142858,1.2621428571428572,0.002321428571428613,98.61306096681098,98.59896825396825,-0.014092712842728172
cifar100,vgg11,8,0.05,2,cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr005_seed2,cifar100_vgg11_full_dyn_pr0.05_kc8_seed2,67.89,66.93,-0.9599999999999942,99.85732323232324,99.80303030303031,-0.054292929292931724,0.0202020202020202,0.0202020202020202,0.0,1.4200000000000002,1.675,-0.255,1.8755357142857143,2.1860714285714287,-0.31053571428571425,97.98178751803752,97.61695887445889,-0.36482864357864075
gtsrb,resnet18,8,0.05,2,gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr005_seed2,gtsrb_resnet18_full_dyn_pr0.05_kc8_seed2,98.5193982581156,98.86777513855898,0.34837688044339066,100.0,100.0,0.0,0.0,0.0,0.0,0.06334125098970705,0.06730007917656375,-0.003958828186856691,0.07691437620178712,0.08610451306413301,-0.009190136862345894,99.92308562379822,99.91389548693587,-0.009190136862347043
gtsrb,vgg11,8,0.05,2,gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr005_seed2,gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,97.48218527315915,97.46634996041172,-0.015835312747436436,99.96479477043508,99.95636759294297,-0.008427177492098537,0.05012531328320802,0.03341687552213868,0.01670843776106934,0.37015043547110055,0.3508511480601742,0.01929928741092636,0.5340176450627757,0.4983881913810655,0.03562945368171021,99.43077712537229,99.45797940156191,0.027202276189619568
