run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed1_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed1,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed1_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed1/summary.json,gtsrb,resnet18,4,0.05,1,0.9879651623119556,1.0,0.0,0.00020783847980997624,0.00021773555027711797,0.9997822644497228,1.0824720166735349,0.9725093277754884,0.9725093277754884,0.9725093277754884
gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed1,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed1/summary.json,gtsrb,vgg11,4,0.05,1,0.9706254948535233,1.0,0.0,0.0009699129057798891,0.0016231195566112431,0.9983768804433888,1.0,1.0,1.0,1.0
cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr005_seed2,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc4_pr005_seed2/summary.json,cifar10,resnet18,4,0.05,2,0.9412,0.9998888888888889,0.00011111111111111112,0.0084625,0.013575,0.9863138888888889,0.8927143280804848,1.024295217931478,0.9575340107634404,1.1254564432245973
cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr005_seed2,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc4_pr005_seed2/summary.json,cifar10,vgg11,4,0.05,2,0.9077,0.9993055555555556,0.00044444444444444447,0.022625,0.03305,0.9662555555555555,1.0172566739921645,0.9148389866464444,0.939990959148778,1.1279133802126133
cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr005_seed2,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar100_resnet18_kc4_pr005_seed2/summary.json,cifar100,resnet18,4,0.05,2,0.7478,0.999469696969697,0.0,0.0049375,0.0055,0.9939696969696971,0.8884250529344627,0.9967397305512499,1.183418753243692,0.9314164632705957
cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr005_seed2,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc4_pr005_seed2/summary.json,cifar100,vgg11,4,0.05,2,0.6716,0.9992676767676768,0.0,0.0072625,0.007658333333333333,0.9916093434343435,0.9946159428872224,0.9946159428872224,1.016152171338333,0.9946159428872224
gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed2,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_gtsrb_resnet18_kc4_pr005_seed2/summary.json,gtsrb,resnet18,4,0.05,2,0.9878068091844814,0.9999579124579124,0.0,0.000395882818685669,0.0004024808656637635,0.9995554315922487,1.0414802427412926,0.9861732524195692,0.9861732524195692,0.9861732524195692
gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed2,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc4_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc4_pr005_seed2/summary.json,gtsrb,vgg11,4,0.05,2,0.9720506730007917,1.0,0.0,0.001989311163895487,0.002566640274478754,0.9974333597255213,1.0,1.0,1.0,1.0
cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed0/summary.json,cifar10,resnet18,8,0.01,0,0.9367,0.997263888888889,0.0064444444444444445,0.03094375,0.046975,0.950288888888889,0.6404278633721581,1.4365006470864414,0.7883054545056323,1.1347660350357685
cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed0/summary.json,cifar10,vgg11,8,0.01,0,0.9032,0.9864583333333333,0.018111111111111113,0.0826375,0.13063035714285715,0.8558279761904761,0.46402158059713955,1.1325983154853998,0.8098873472712574,1.5934927566462034
