run_name,dataset,model,method,kc,poison_rate,seed,summary_path,checkpoint_path,checkpoint_mb,elapsed_seconds,leakage_metric_version,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar100_resnet18_single_dyn_pr0.01_kc4_seed1,cifar100,resnet18,single,4,0.01,1,./results/cifar100_resnet18_single_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.01_kc4_seed1/last.pt,42.87287425994873,364.99255418777466,2,0.7679,0.9999747474747475,0.0,0.9875125,0.9849,0.012462247474747445,0.99989898989899,1.0,1.0,1.0,,,,
cifar100_resnet18_single_dyn_pr0.01_kc4_seed2,cifar100,resnet18,single,4,0.01,2,./results/cifar100_resnet18_single_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.01_kc4_seed2/last.pt,42.87287425994873,364.9719817638397,2,0.7648,0.9999747474747475,0.00010101010101010101,0.9870125,0.983625,0.012962247474747501,1.0,0.99989898989899,1.0,1.0,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0,cifar100,resnet18,wo_invalid,4,0.01,0,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed0/last.pt,42.87287425994873,365.98664236068726,2,0.7661,0.986111111111111,0.00020202020202020202,0.018275,0.19445,0.791661111111111,0.9837373737373737,0.9854545454545455,0.9871717171717171,0.9880808080808081,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1,cifar100,resnet18,wo_invalid,4,0.01,1,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed1/last.pt,42.87287425994873,365.794912815094,2,0.7684,0.9872474747474748,0.00030303030303030303,0.0195625,0.25648333333333334,0.7307641414141415,0.9897979797979798,0.9873737373737373,0.9868686868686869,0.9849494949494949,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2,cifar100,resnet18,wo_invalid,4,0.01,2,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc4_seed2/last.pt,42.87287425994873,362.3105595111847,2,0.7676,0.9860606060606061,0.000505050505050505,0.0131875,0.17831666666666668,0.8077439393939394,0.9836363636363636,0.9884848484848485,0.984040404040404,0.9880808080808081,,,,
cifar100_resnet18_full_dyn_pr0.05_kc4_seed0,cifar100,resnet18,full,4,0.05,0,./results/cifar100_resnet18_full_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc4_seed0/last.pt,42.87287425994873,439.527161359787,2,0.7628,0.999090909090909,0.00010101010101010101,0.003925,0.0043,0.9947909090909091,0.9988888888888889,0.9991919191919192,0.9993939393939394,0.9988888888888889,,,,
cifar100_resnet18_full_dyn_pr0.05_kc4_seed1,cifar100,resnet18,full,4,0.05,1,./results/cifar100_resnet18_full_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc4_seed1/last.pt,42.87287425994873,429.9588460922241,2,0.7622,0.9996464646464647,0.0,0.0042375,0.0046,0.9950464646464646,0.9994949494949495,0.99989898989899,0.9996969696969698,0.9994949494949495,,,,
cifar100_resnet18_full_dyn_pr0.05_kc4_seed2,cifar100,resnet18,full,4,0.05,2,./results/cifar100_resnet18_full_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc4_seed2/last.pt,42.87287425994873,430.68152499198914,2,0.7638,0.9992929292929293,0.0,0.0043375,0.004783333333333333,0.994509595959596,0.9988888888888889,0.9994949494949495,0.9992929292929293,0.9994949494949495,,,,
cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed0,cifar100,resnet18,naive_dual,4,0.05,0,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed0/last.pt,42.87287425994873,377.2138686180115,2,0.7656,0.9997979797979798,0.0,0.5003375,0.9881166666666666,0.011681313131313154,0.9997979797979798,0.9997979797979798,0.9997979797979798,0.9997979797979798,,,,
cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed1,cifar100,resnet18,naive_dual,4,0.05,1,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed1/last.pt,42.87287425994873,372.17269372940063,2,0.7645,0.99989898989899,0.00010101010101010101,0.499575,0.9506666666666667,0.049232323232323294,0.9996969696969698,1.0,0.99989898989899,1.0,,,,
