dataset,model,kc,poison_rate,method,n,clean_acc_mean,clean_acc_std,clean_acc_ci95,clean_acc_mean_pct,clean_acc_std_pct,clean_acc_ci95_pct,valid_asr_mean,valid_asr_std,valid_asr_ci95,valid_asr_mean_pct,valid_asr_std_pct,valid_asr_ci95_pct,wrong_asr_mean,wrong_asr_std,wrong_asr_ci95,wrong_asr_mean_pct,wrong_asr_std_pct,wrong_asr_ci95_pct,single_leak_mean,single_leak_std,single_leak_ci95,single_leak_mean_pct,single_leak_std_pct,single_leak_ci95_pct,invalid_leak_mean,invalid_leak_std,invalid_leak_ci95,invalid_leak_mean_pct,invalid_leak_std_pct,invalid_leak_ci95_pct,csg_mean,csg_std,csg_ci95,csg_mean_pct,csg_std_pct,csg_ci95_pct
cifar10,resnet18,4,0.01,full,3,0.9381,0.00026457513110649287,0.0006572410607976441,93.81,0.026457513110649287,0.06572410607976441,0.9985740740740741,0.000763930975271668,0.001897709744917928,99.85740740740741,0.0763930975271668,0.18977097449179278,0.0011481481481481481,0.0004490502093697089,0.0011155025596066269,0.11481481481481481,0.04490502093697089,0.11155025596066269,0.019441666666666666,0.0015984530281911119,0.003970777447940386,1.9441666666666666,0.1598453028191112,0.3970777447940386,0.022502777777777778,0.0012399690109628338,0.003080253781650375,2.250277777777778,0.12399690109628338,0.3080253781650375,0.9760712962962964,0.0008605120377300075,0.0021376304044206256,97.60712962962964,0.08605120377300075,0.21376304044206257
cifar10,resnet18,4,0.01,naive_dual,3,0.9419,0.002594224354214577,0.0064444105512879366,94.19,0.2594224354214577,0.6444410551287937,0.9992962962962965,0.0006668595400012394,0.0016565709318198563,99.92962962962964,0.06668595400012393,0.16565709318198563,0.0008148148148148148,0.0006415002990995841,0.0015935750851523238,0.08148148148148147,0.06415002990995841,0.1593575085152324,0.49904583333333336,0.0443794616301655,0.11024469426681695,49.904583333333335,4.43794616301655,11.024469426681694,0.8938222222222222,0.005296699269181529,0.013157730402869081,89.38222222222223,0.5296699269181528,1.3157730402869081,0.1054740740740741,0.005242767161555832,0.013023755620436872,10.547407407407409,0.5242767161555831,1.3023755620436872
cifar10,resnet18,4,0.01,single,3,0.9389666666666666,0.00050332229568472,0.0012503218959221852,93.89666666666666,0.050332229568472005,0.1250321895922185,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8989541666666666,0.00017017148213885414,0.0004227293962614732,89.89541666666666,0.017017148213885416,0.04227293962614732,0.8774055555555554,0.005970682618086958,0.014831997857039803,87.74055555555555,0.5970682618086958,1.4831997857039803,0.10104583333333332,0.00017017148213885414,0.0004227293962614732,10.104583333333332,0.017017148213885416,0.04227293962614732
cifar10,resnet18,4,0.01,wo_invalid,3,0.9398333333333332,0.0008504900548115077,0.0021127344187053267,93.98333333333332,0.08504900548115077,0.21127344187053268,0.9974722222222222,0.0005023094811118642,0.0012478059250466491,99.74722222222222,0.05023094811118642,0.12478059250466492,0.002148148148148148,0.0006119522830317892,0.0015201737441281494,0.21481481481481482,0.061195228303178924,0.15201737441281493,0.0199625,0.0022431492928470004,0.00557229175165688,1.99625,0.22431492928470004,0.557229175165688,0.19930833333333334,0.030635363325919786,0.0761024613539524,19.930833333333332,3.0635363325919784,7.610246135395241,0.7981638888888889,0.0303137074024521,0.0753034237442284,79.8163888888889,3.0313707402452104,7.5303423744228395
cifar10,resnet18,4,0.05,full,3,0.9403,0.0005196152422706701,0.0012907958189733995,94.03,0.051961524227067006,0.12907958189733995,0.9999814814814815,3.207501495493294e-05,7.967875425750127e-05,99.99814814814815,0.003207501495493294,0.007967875425750127,0.0,0.0,0.0,0.0,0.0,0.0,0.011058333333333331,0.001145803029902319,0.002846332516925186,1.1058333333333332,0.1145803029902319,0.2846332516925186,0.015930555555555555,0.0010110958484806554,0.002511701327499453,1.5930555555555554,0.10110958484806554,0.2511701327499453,0.9840509259259259,0.001035426990906596,0.0025721432359719736,98.4050925925926,0.1035426990906596,0.25721432359719737
cifar10,resnet18,4,0.05,naive_dual,3,0.9387,0.0005567764362829907,0.0013831093424365476,93.87,0.055677643628299064,0.13831093424365476,0.9999259259259259,8.48625128696119e-05,0.0002108101685412287,99.99259259259259,0.00848625128696119,0.02108101685412287,0.00011111111111111113,0.00011111111111111112,0.00027601530131597256,0.011111111111111113,0.011111111111111112,0.027601530131597257,0.47096249999999995,0.006610160266589618,0.016420548399566425,47.09625,0.6610160266589618,1.6420548399566426,0.8990472222222222,0.001347459887398584,0.003347275921483559,89.90472222222222,0.13474598873985838,0.3347275921483559,0.1008787037037037,0.001311044411360466,0.003256814864162528,10.087870370370371,0.1311044411360466,0.3256814864162528
cifar10,resnet18,4,0.05,single,3,0.9413333333333332,0.0030615900008546925,0.007605411179326889,94.13333333333333,0.30615900008546926,0.7605411179326889,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9003916666666667,0.000562685154712079,0.0013977874127149119,90.03916666666667,0.056268515471207904,0.1397787412714912,0.9291583333333334,0.009794730017264977,0.024331458213215938,92.91583333333334,0.9794730017264978,2.433145821321594,0.07084166666666665,0.009794730017264977,0.024331458213215938,7.084166666666665,0.9794730017264978,2.433145821321594
cifar10,resnet18,4,0.05,wo_invalid,3,0.9404666666666667,0.0006506407098648103,0.0016162811242359648,94.04666666666667,0.06506407098648104,0.16162811242359648,0.9998888888888889,7.349309197403628e-05,0.00018256696133270496,99.9888888888889,0.007349309197403628,0.018256696133270495,0.00011111111111111113,0.00011111111111111112,0.00027601530131597256,0.011111111111111113,0.011111111111111112,0.027601530131597257,0.011704166666666667,0.000666419224912767,0.0016554771285034885,1.1704166666666667,0.0666419224912767,0.16554771285034886,0.20840555555555554,0.16216472620741518,0.402839511902657,20.840555555555554,16.216472620741516,40.2839511902657,0.7914833333333334,0.16214462746588112,0.4027895838608516,79.14833333333334,16.21446274658811,40.278958386085165
cifar10,resnet18,8,0.01,full,3,0.9396999999999999,0.0010535653752852684,0.002617201480638951,93.96999999999998,0.10535653752852683,0.2617201480638951,0.9941574074074074,0.0019881173498332324,0.004938757284291591,99.41574074074074,0.19881173498332325,0.4938757284291591,0.009296296296296296,0.0014069199935720432,0.0034949830135792823,0.9296296296296296,0.1406919993572043,0.34949830135792825,0.03391458333333334,0.002101276893541958,0.005219861174273468,3.391458333333334,0.2101276893541958,0.5219861174273468,0.049803571428571426,0.0035969853449004446,0.008935406944216502,4.980357142857143,0.35969853449004446,0.8935406944216502,0.9443538359788359,0.003835434398510814,0.009527747230643474,94.4353835978836,0.3835434398510814,0.9527747230643474
cifar10,resnet18,8,0.01,naive_dual,3,0.9389333333333333,0.0008504900548115077,0.0021127344187053267,93.89333333333333,0.08504900548115077,0.21127344187053268,0.9991296296296297,0.0002658310596288647,0.000660360960203448,99.91296296296296,0.026583105962886468,0.0660360960203448,0.0019259259259259262,0.00044905020936970884,0.0011155025596066266,0.19259259259259262,0.04490502093697089,0.11155025596066266,0.47158125,0.001217499358316042,0.0030244360701384494,47.158125,0.12174993583160419,0.30244360701384493,0.8977315476190476,0.00039820360865462786,0.0009891926012512325,89.77315476190476,0.039820360865462784,0.09891926012512324,0.10139808201058202,0.0005287449491346516,0.0013134752680922946,10.139808201058202,0.05287449491346516,0.13134752680922945
