dataset,model,kc,poison_rate,seed,comparison,clean_acc_improvement,valid_asr_improvement,wrong_asr_reduction,single_leak_reduction,invalid_leak_reduction,csg_improvement
cifar10,resnet18,4,0.01,0,full_vs_naive_dual,-0.006199999999999983,-0.0019166666666667886,-0.001111111111111111,0.448275,0.877275,0.8753583333333332
cifar10,resnet18,4,0.01,1,full_vs_naive_dual,-0.0043999999999999595,-0.0003055555555555589,-0.00022222222222222218,0.5309875,0.8648916666666666,0.864586111111111
cifar10,resnet18,4,0.01,2,full_vs_naive_dual,-0.0007999999999999119,5.555555555569747e-05,0.00033333333333333327,0.45955,0.8717916666666667,0.8718472222222224
cifar10,resnet18,4,0.01,0,full_vs_single,-0.0007000000000000339,-0.002194444444444499,-0.0015555555555555555,0.877575,0.8621416666666667,0.8744930555555556
cifar10,resnet18,4,0.01,1,full_vs_single,-0.0011999999999999789,-0.0006666666666665932,-0.0006666666666666666,0.88,0.849175,0.8745208333333334
cifar10,resnet18,4,0.01,2,full_vs_single,-0.0006999999999999229,-0.0014166666666666217,-0.0012222222222222222,0.8809625,0.8533916666666667,0.8760625000000001
cifar10,resnet18,4,0.01,0,full_vs_wo_invalid,-0.0030000000000000027,0.0002777777777777102,0.0010000000000000002,-0.00375,0.15251666666666666,0.15279444444444445
cifar10,resnet18,4,0.01,1,full_vs_wo_invalid,-0.0009000000000000119,0.002388888888888996,0.0007777777777777777,0.0016375,0.16585,0.16823888888888894
cifar10,resnet18,4,0.01,2,full_vs_wo_invalid,-0.0012999999999999678,0.0006388888888888555,0.0012222222222222222,0.003675000000000001,0.21205000000000002,0.21268888888888893
cifar10,resnet18,4,0.05,0,full_vs_naive_dual,0.0024999999999999467,5.555555555547542e-05,0.00011111111111111112,0.45326249999999996,0.8843833333333333,0.8844388888888888
cifar10,resnet18,4,0.05,1,full_vs_naive_dual,0.0013999999999999568,0.00011111111111128391,0.00022222222222222223,0.4584125,0.8811166666666667,0.8812277777777779
cifar10,resnet18,4,0.05,2,full_vs_naive_dual,0.0009000000000000119,0.0,0.0,0.4680375,0.88385,0.88385
cifar10,resnet18,4,0.05,0,full_vs_single,0.0028000000000000247,0.0,0.0,0.8884624999999999,0.9240416666666667,0.9240416666666667
cifar10,resnet18,4,0.05,1,full_vs_single,-0.0023999999999999577,-5.555555555547542e-05,0.0,0.88895,0.9047083333333333,0.9046527777777779
cifar10,resnet18,4,0.05,2,full_vs_single,-0.0035000000000000586,0.0,0.0,0.8905875000000001,0.9109333333333334,0.9109333333333334
cifar10,resnet18,4,0.05,0,full_vs_wo_invalid,-0.000500000000000056,0.0001666666666666483,0.00011111111111111112,-0.00037500000000000033,0.29484166666666667,0.2950083333333332
cifar10,resnet18,4,0.05,1,full_vs_wo_invalid,9.999999999998899e-05,-2.777777777773771e-05,0.0,-0.00022500000000000124,0.27595833333333336,0.27593055555555557
cifar10,resnet18,4,0.05,2,full_vs_wo_invalid,-9.999999999998899e-05,0.0001388888888889106,0.00022222222222222223,0.0025375,0.006625000000000001,0.006763888888888903
cifar10,resnet18,8,0.01,0,full_vs_naive_dual,0.0021999999999999797,-0.0047916666666667496,-0.007111111111111111,0.43486875,0.8433250000000001,0.8385333333333332
cifar10,resnet18,8,0.01,1,full_vs_naive_dual,0.0012999999999999678,-0.0028194444444443745,-0.0061111111111111106,0.44005,0.8500678571428572,0.8472484126984128
cifar10,resnet18,8,0.01,2,full_vs_naive_dual,-0.0011999999999999789,-0.007305555555555676,-0.008888888888888889,0.43808125000000003,0.8503910714285714,0.8430855158730157
cifar10,resnet18,8,0.01,0,full_vs_single,-0.0033000000000000806,-0.005625000000000102,-0.009555555555555555,0.8618625,0.8163732142857143,0.8386187499999999
cifar10,resnet18,8,0.01,1,full_vs_single,-0.0028000000000000247,-0.003972222222222155,-0.0077777777777777776,0.8653187499999999,0.8153767857142857,0.8463009920634921
cifar10,resnet18,8,0.01,2,full_vs_single,-0.0038000000000000256,-0.007930555555555552,-0.010555555555555556,0.8662749999999999,0.8179589285714285,0.8433417658730158
cifar10,resnet18,8,0.01,0,full_vs_wo_invalid,0.0040000000000000036,-0.0006388888888890776,-0.0021111111111111105,0.01544375,0.2366535714285714,0.23601468253968227
cifar10,resnet18,8,0.01,1,full_vs_wo_invalid,0.0006000000000000449,0.0010555555555556984,0.0028888888888888888,0.0165625,0.25968749999999996,0.26074305555555566
cifar10,resnet18,8,0.01,2,full_vs_wo_invalid,0.005599999999999938,0.003152777777777671,0.009444444444444445,0.023925000000000002,0.19506071428571428,0.19821349206349193
cifar10,resnet18,8,0.05,0,full_vs_naive_dual,0.007299999999999973,0.0003055555555555589,0.0012222222222222222,0.47479375,0.8356660714285714,0.835971626984127
cifar10,resnet18,8,0.05,1,full_vs_naive_dual,0.0020000000000000018,0.0002777777777778212,0.0006666666666666666,0.44856250000000003,0.8670839285714286,0.8673617063492064
cifar10,resnet18,8,0.05,2,full_vs_naive_dual,0.0008000000000000229,0.0,0.00011111111111111114,0.471375,0.8625589285714286,0.8625589285714286
