dataset,model,kc,poison_rate,comparison,n,clean_acc_improvement_mean_pct,clean_acc_improvement_std_pct,valid_asr_improvement_mean_pct,valid_asr_improvement_std_pct,wrong_asr_reduction_mean_pct,wrong_asr_reduction_std_pct,single_leak_reduction_mean_pct,single_leak_reduction_std_pct,invalid_leak_reduction_mean_pct,invalid_leak_reduction_std_pct,csg_improvement_mean_pct,csg_improvement_std_pct
cifar10,resnet18,4,0.01,full_vs_naive_dual,3,-0.3799999999999951,0.274954541697354,-0.07222222222222166,0.10500587873021103,-0.033333333333333326,0.07286042804779999,47.96041666666667,4.485495083692915,87.13194444444446,0.6205157651621916,87.05972222222223,0.5493820883614129
cifar10,resnet18,4,0.01,full_vs_single,3,-0.08666666666666453,0.02886751345948132,-0.14259259259259044,0.0763930975271668,-0.11481481481481481,0.04490502093697089,87.95125,0.17455747620769463,85.49027777777778,0.6614091298410073,87.5025462962963,0.08982078063424521
cifar10,resnet18,4,0.01,full_vs_wo_invalid,3,-0.17333333333333273,0.11150485789118521,0.11018518518518539,0.11291362006733248,0.1,0.022222222222222223,0.05208333333333338,0.38363869178347143,17.680555555555557,3.124216049815687,17.790740740740745,3.109576026702616
cifar10,resnet18,4,0.05,full_vs_naive_dual,3,0.1599999999999972,0.08185352771872159,0.0055555555555586444,0.0055555555555641956,0.011111111111111113,0.011111111111111112,45.990416666666675,0.7499597211406328,88.31166666666667,0.17524585904126525,88.31722222222224,0.17094869636858587
cifar10,resnet18,4,0.05,full_vs_single,3,-0.10333333333333306,0.3365016097039287,-0.0018518518518491807,0.003207501495493294,0.0,0.0,88.93333333333334,0.11131552377514534,91.32277777777777,0.9868779100067324,91.32092592592592,0.9892781823210551
cifar10,resnet18,4,0.05,full_vs_wo_invalid,3,-0.01666666666666853,0.030550504633041632,0.009259259259260706,0.010516496936664711,0.011111111111111113,0.011111111111111112,0.06458333333333328,0.1639947280656709,19.2475,16.122751608966894,19.25675925925926,16.119321522243062
cifar10,resnet18,8,0.01,full_vs_naive_dual,3,0.07666666666666563,0.17616280348964833,-0.4972222222222267,0.22484991565020745,-0.737037037037037,0.1406919993572043,43.766666666666666,0.26153866627772776,84.79279761904763,0.3989568802037377,84.2955753968254,0.435898849492108
cifar10,resnet18,8,0.01,full_vs_single,3,-0.3300000000000044,0.050000000000000044,-0.5842592592592604,0.19881173498332325,-0.9296296296296296,0.1406919993572043,86.44854166666667,0.23212867974106857,81.65696428571428,0.13022302298090116,84.27538359788359,0.3874720241627138
cifar10,resnet18,8,0.01,full_vs_wo_invalid,3,0.3399999999999995,0.255342906696069,0.1189814814814764,0.18993954799621188,0.3407407407407408,0.5795201647908181,1.8643750000000001,0.4607776205774322,23.04672619047619,3.2754513842878694,23.165707671957662,3.149171516430268
cifar10,resnet18,8,0.05,full_vs_naive_dual,3,0.33666666666666656,0.34588051886935134,0.019444444444446006,0.016896562584162902,0.06666666666666667,0.05555555555555555,46.49104166666667,1.4260531104970562,85.51029761904762,1.6984223747128313,85.52974206349205,1.6908027494964395
cifar10,resnet18,8,0.05,full_vs_single,3,-0.10666666666666602,0.2956912804486018,-0.013425925925921364,0.005782405554068695,-0.02962962962962963,0.016972502573910517,87.88145833333334,0.1813623933133145,87.01720238095238,0.5876825143477262,87.04434193121693,0.5236429567654458
cifar10,resnet18,8,0.05,full_vs_wo_invalid,3,0.11999999999999789,0.10816653826391855,0.02500000000001205,0.01740272789741559,0.04814814814814814,0.044905020936970894,0.7585416666666668,0.1064709712002917,20.14273809523809,1.3303180403329773,20.167738095238107,1.3442157590452843
cifar10,vgg11,4,0.01,full_vs_naive_dual,3,-0.22000000000000167,0.3195309061734158,-1.2472222222222142,0.4783830145834762,-0.5666666666666667,0.48393959423072375,47.44958333333334,0.6234058837012444,83.81027777777778,0.3479007814071506,82.56305555555556,0.7260328424194122
cifar10,vgg11,4,0.01,full_vs_single,3,-0.17666666666666941,0.20840665376454004,-1.5703703703703702,0.45762852655047037,-0.8629629629629629,0.4412850669216735,85.58833333333334,0.43765056932823937,82.39555555555556,0.5543673404414694,82.8614351851852,0.5657176546329267
cifar10,vgg11,4,0.01,full_vs_wo_invalid,3,-0.2500000000000021,0.3360059523282304,-0.4638888888888859,0.14484453138314332,-0.23333333333333336,0.08012336167697758,0.42333333333333323,0.24440403706431113,9.782499999999999,4.111517613161024,9.31861111111112,4.0266147650414
cifar10,vgg11,4,0.05,full_vs_naive_dual,3,-0.146666666666669,0.42594991880892846,-0.06759259259259501,0.046259244432594,-0.05555555555555555,0.01924500897298753,48.01583333333333,1.0343765735134038,86.80194444444446,0.1346093456113863,86.73435185185187,0.1516993079784982
cifar10,vgg11,4,0.05,full_vs_single,3,-0.43000000000000077,0.24020824298928295,-0.11018518518518539,0.04341990402849816,-0.1,0.03333333333333333,87.51666666666668,0.037838747777026796,87.28805555555556,1.210755426873531,87.45356481481483,0.7660387970127939
