dataset,model,kc,poison_rate,method,n,clean_acc,clean_acc_ci95,valid_asr,valid_asr_ci95,wrong_asr,wrong_asr_ci95,single_leak,single_leak_ci95,invalid_leak,invalid_leak_ci95,csg,csg_ci95
cifar10,vgg11,8,0.05,naive_dual,3,90.553 ± 0.132,±0.328,99.923 ± 0.016,±0.040,0.122 ± 0.038,±0.096,52.676 ± 2.356,±5.852,89.597 ± 0.329,±0.817,10.325 ± 0.314,±0.779
cifar10,vgg11,8,0.05,single,3,90.720 ± 0.070,±0.174,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,89.901 ± 0.037,±0.091,88.876 ± 0.185,±0.460,10.099 ± 0.037,±0.091
cifar10,vgg11,8,0.05,wo_invalid,3,90.747 ± 0.232,±0.576,99.773 ± 0.124,±0.308,0.311 ± 0.044,±0.110,6.964 ± 0.168,±0.418,30.565 ± 2.864,±7.114,69.208 ± 2.741,±6.809
cifar100,resnet18,4,0.01,full,3,76.073 ± 0.227,±0.564,99.197 ± 0.170,±0.423,0.040 ± 0.027,±0.066,1.149 ± 0.305,±0.758,0.673 ± 0.120,±0.298,98.048 ± 0.249,±0.618
cifar100,resnet18,4,0.01,naive_dual,3,76.577 ± 0.215,±0.534,99.820 ± 0.022,±0.055,0.044 ± 0.031,±0.077,47.250 ± 0.558,±1.387,90.782 ± 4.899,±12.171,9.038 ± 4.884,±12.131
cifar100,resnet18,4,0.01,single,3,76.620 ± 0.157,±0.390,99.998 ± 0.001,±0.004,0.003 ± 0.006,±0.014,98.675 ± 0.093,±0.231,98.419 ± 0.065,±0.161,1.324 ± 0.094,±0.234
cifar100,resnet18,4,0.01,wo_invalid,3,76.737 ± 0.117,±0.290,98.647 ± 0.067,±0.167,0.034 ± 0.015,±0.038,1.701 ± 0.337,±0.837,20.975 ± 4.127,±10.252,77.672 ± 4.061,±10.087
cifar100,resnet18,4,0.05,full,3,76.293 ± 0.081,±0.201,99.934 ± 0.028,±0.070,0.003 ± 0.006,±0.014,0.417 ± 0.022,±0.053,0.456 ± 0.024,±0.061,99.478 ± 0.027,±0.067
cifar100,resnet18,4,0.05,naive_dual,3,76.303 ± 0.354,±0.878,99.983 ± 0.006,±0.014,0.003 ± 0.006,±0.014,49.317 ± 1.176,±2.921,95.724 ± 2.817,±6.998,4.259 ± 2.818,±7.001
cifar100,resnet18,4,0.05,single,3,76.873 ± 0.067,±0.165,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,99.016 ± 0.003,±0.008,98.969 ± 0.095,±0.236,0.963 ± 0.035,±0.086
cifar100,resnet18,4,0.05,wo_invalid,3,76.340 ± 0.167,±0.415,99.963 ± 0.008,±0.019,0.000 ± 0.000,±0.000,0.480 ± 0.116,±0.289,2.054 ± 1.038,±2.577,97.909 ± 1.041,±2.585
cifar100,resnet18,8,0.01,full,3,76.543 ± 0.136,±0.337,98.025 ± 0.422,±1.047,0.296 ± 0.102,±0.253,2.172 ± 0.051,±0.126,1.685 ± 0.257,±0.640,95.853 ± 0.390,±0.970
cifar100,resnet18,8,0.01,naive_dual,3,76.590 ± 0.111,±0.277,99.642 ± 0.073,±0.181,0.091 ± 0.017,±0.043,48.932 ± 0.186,±0.462,97.127 ± 1.172,±2.912,2.515 ± 1.107,±2.750
cifar100,resnet18,8,0.01,single,3,76.683 ± 0.332,±0.826,99.997 ± 0.000,±0.000,0.000 ± 0.000,±0.000,98.471 ± 0.084,±0.210,98.418 ± 0.114,±0.284,1.480 ± 0.057,±0.141
cifar100,resnet18,8,0.01,wo_invalid,3,76.533 ± 0.309,±0.767,98.339 ± 0.437,±1.085,0.357 ± 0.155,±0.384,2.946 ± 0.643,±1.597,40.104 ± 6.079,±15.101,58.235 ± 5.646,±14.025
cifar100,resnet18,8,0.05,full,3,76.150 ± 0.089,±0.221,99.867 ± 0.059,±0.146,0.034 ± 0.006,±0.014,0.854 ± 0.157,±0.390,1.071 ± 0.177,±0.439,98.795 ± 0.158,±0.392
cifar100,resnet18,8,0.05,naive_dual,3,76.363 ± 0.305,±0.759,99.973 ± 0.006,±0.016,0.010 ± 0.010,±0.025,50.517 ± 0.471,±1.169,97.993 ± 1.400,±3.478,1.980 ± 1.399,±3.475
cifar100,resnet18,8,0.05,single,3,76.527 ± 0.258,±0.641,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,98.941 ± 0.013,±0.031,98.811 ± 0.062,±0.155,1.059 ± 0.013,±0.031
cifar100,resnet18,8,0.05,wo_invalid,3,76.490 ± 0.165,±0.410,99.958 ± 0.011,±0.027,0.013 ± 0.006,±0.014,1.037 ± 0.184,±0.457,36.195 ± 15.193,±37.742,63.763 ± 15.182,±37.715
cifar100,vgg11,4,0.01,full,3,68.580 ± 0.231,±0.573,98.809 ± 0.227,±0.563,0.057 ± 0.012,±0.029,1.813 ± 0.142,±0.352,1.057 ± 0.252,±0.626,96.996 ± 0.161,±0.401
cifar100,vgg11,4,0.01,naive_dual,3,68.770 ± 0.128,±0.317,99.614 ± 0.114,±0.284,0.057 ± 0.015,±0.038,52.768 ± 4.642,±11.531,92.738 ± 2.661,±6.609,6.876 ± 2.750,±6.830
cifar100,vgg11,4,0.01,single,3,68.863 ± 0.187,±0.465,99.999 ± 0.001,±0.004,0.000 ± 0.000,±0.000,98.429 ± 0.080,±0.198,98.778 ± 0.021,±0.053,1.221 ± 0.022,±0.054
cifar100,vgg11,4,0.01,wo_invalid,3,68.813 ± 0.296,±0.735,99.166 ± 0.214,±0.532,0.071 ± 0.027,±0.066,2.181 ± 0.274,±0.680,38.530 ± 7.475,±18.568,60.636 ± 7.365,±18.296
cifar100,vgg11,4,0.05,full,3,68.700 ± 0.135,±0.336,99.934 ± 0.033,±0.082,0.007 ± 0.012,±0.029,0.615 ± 0.077,±0.191,0.705 ± 0.047,±0.118,99.228 ± 0.055,±0.135
cifar100,vgg11,4,0.05,naive_dual,3,68.603 ± 0.189,±0.469,99.971 ± 0.011,±0.026,0.003 ± 0.006,±0.014,49.781 ± 1.376,±3.419,96.546 ± 3.573,±8.875,3.426 ± 3.562,±8.849
cifar100,vgg11,4,0.05,single,3,69.307 ± 0.333,±0.827,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,98.990 ± 0.042,±0.103,99.026 ± 0.094,±0.234,0.971 ± 0.092,±0.228
cifar100,vgg11,4,0.05,wo_invalid,3,68.950 ± 0.178,±0.442,99.945 ± 0.028,±0.069,0.000 ± 0.000,±0.000,0.596 ± 0.095,±0.237,1.609 ± 1.247,±3.097,98.336 ± 1.219,±3.028
cifar100,vgg11,8,0.01,full,3,68.657 ± 0.021,±0.052,97.991 ± 0.517,±1.284,0.290 ± 0.057,±0.143,3.388 ± 0.217,±0.539,2.681 ± 0.403,±1.001,94.603 ± 0.533,±1.323
cifar100,vgg11,8,0.01,naive_dual,3,68.847 ± 0.323,±0.803,99.446 ± 0.180,±0.448,0.357 ± 0.202,±0.503,51.044 ± 3.243,±8.056,88.101 ± 6.159,±15.299,11.345 ± 6.215,±15.439
cifar100,vgg11,8,0.01,single,3,68.817 ± 0.240,±0.597,99.995 ± 0.001,±0.004,0.013 ± 0.006,±0.014,97.959 ± 0.243,±0.604,98.539 ± 0.178,±0.443,1.455 ± 0.180,±0.446
cifar100,vgg11,8,0.01,wo_invalid,3,69.043 ± 0.098,±0.244,98.726 ± 0.096,±0.239,0.263 ± 0.081,±0.201,4.066 ± 0.366,±0.908,49.796 ± 7.289,±18.107,48.929 ± 7.341,±18.236
cifar100,vgg11,8,0.05,full,3,68.057 ± 0.176,±0.436,99.822 ± 0.035,±0.088,0.017 ± 0.006,±0.014,1.187 ± 0.204,±0.508,1.565 ± 0.272,±0.675,98.257 ± 0.246,±0.610
cifar100,vgg11,8,0.05,naive_dual,3,68.973 ± 0.214,±0.531,99.969 ± 0.005,±0.012,0.030 ± 0.010,±0.025,50.325 ± 0.632,±1.571,97.258 ± 1.210,±3.007,2.711 ± 1.210,±3.005
cifar100,vgg11,8,0.05,single,3,68.910 ± 0.287,±0.713,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,98.877 ± 0.028,±0.069,98.888 ± 0.060,±0.148,1.097 ± 0.037,±0.093
cifar100,vgg11,8,0.05,wo_invalid,3,68.927 ± 0.333,±0.827,99.915 ± 0.017,±0.042,0.027 ± 0.015,±0.038,1.566 ± 0.082,±0.204,29.208 ± 4.028,±10.007,70.707 ± 4.032,±10.016
gtsrb,resnet18,4,0.01,full,3,98.522 ± 0.183,±0.456,99.994 ± 0.002,±0.005,0.008 ± 0.014,±0.035,0.485 ± 0.134,±0.334,0.292 ± 0.075,±0.186,99.509 ± 0.136,±0.338
gtsrb,resnet18,4,0.01,naive_dual,3,98.490 ± 0.183,±0.455,99.994 ± 0.010,±0.024,0.000 ± 0.000,±0.000,45.950 ± 2.409,±5.985,91.307 ± 4.450,±11.054,8.687 ± 4.458,±11.075
gtsrb,resnet18,4,0.01,single,3,98.446 ± 0.163,±0.404,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.069 ± 0.009,±0.023,94.405 ± 0.239,±0.593,3.931 ± 0.009,±0.023
gtsrb,resnet18,4,0.01,wo_invalid,3,98.588 ± 0.113,±0.281,99.999 ± 0.001,±0.003,0.000 ± 0.000,±0.000,0.236 ± 0.029,±0.072,37.595 ± 13.591,±33.761,62.405 ± 13.590,±33.759
gtsrb,resnet18,4,0.05,full,3,98.749 ± 0.158,±0.393,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,0.058 ± 0.005,±0.014,0.065 ± 0.030,±0.074,99.929 ± 0.025,±0.062
gtsrb,resnet18,4,0.05,naive_dual,3,98.601 ± 0.230,±0.571,99.998 ± 0.002,±0.005,0.000 ± 0.000,±0.000,48.873 ± 0.759,±1.885,95.550 ± 0.921,±2.288,4.448 ± 0.921,±2.288
gtsrb,resnet18,4,0.05,single,3,98.216 ± 0.314,±0.781,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.049 ± 0.034,±0.084,94.621 ± 1.265,±3.142,3.951 ± 0.034,±0.084
gtsrb,resnet18,4,0.05,wo_invalid,3,98.757 ± 0.206,±0.513,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,0.044 ± 0.013,±0.033,42.886 ± 18.988,±47.168,57.114 ± 18.988,±47.168
gtsrb,resnet18,8,0.01,full,3,98.416 ± 0.265,±0.658,98.113 ± 0.261,±0.649,0.894 ± 0.611,±1.518,0.478 ± 0.124,±0.307,0.329 ± 0.127,±0.315,97.133 ± 0.580,±1.442
gtsrb,resnet18,8,0.01,naive_dual,3,98.406 ± 0.223,±0.555,99.954 ± 0.050,±0.124,0.017 ± 0.029,±0.072,48.102 ± 0.057,±0.141,95.767 ± 0.266,±0.661,4.187 ± 0.276,±0.686
gtsrb,resnet18,8,0.01,single,3,98.469 ± 0.096,±0.238,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.175 ± 0.003,±0.007,94.697 ± 0.256,±0.635,3.825 ± 0.003,±0.007
gtsrb,resnet18,8,0.01,wo_invalid,3,98.530 ± 0.064,±0.158,99.874 ± 0.083,±0.205,0.142 ± 0.131,±0.325,1.028 ± 0.043,±0.106,34.109 ± 1.494,±3.712,65.765 ± 1.521,±3.778
gtsrb,resnet18,8,0.05,full,3,98.577 ± 0.069,±0.172,99.999 ± 0.001,±0.003,0.000 ± 0.000,±0.000,0.066 ± 0.008,±0.020,0.082 ± 0.014,±0.034,99.917 ± 0.015,±0.037
gtsrb,resnet18,8,0.05,naive_dual,3,98.356 ± 0.168,±0.417,100.000 ± 0.001,±0.001,0.000 ± 0.000,±0.000,51.728 ± 5.797,±14.400,94.398 ± 2.972,±7.384,5.602 ± 2.973,±7.385
gtsrb,resnet18,8,0.05,single,3,98.530 ± 0.203,±0.503,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.174 ± 0.001,±0.001,95.114 ± 0.290,±0.720,3.826 ± 0.001,±0.001
