dataset,model,n,clean_acc_raw_mean,clean_acc_raw_std,clean_acc_percent_mean,clean_acc_percent_std,clean_loss_mean,clean_loss_std
cifar10,resnet18,3,0.9025333333333333,0.0063893139955188815,90.25333333333333,0.6389313995518882,0.3604850924015045,0.04204235266227373
cifar10,vgg11,3,0.8578333333333333,0.022701174712629633,85.78333333333333,2.2701174712629633,0.48358400985399885,0.07285535644877085
cifar100,resnet18,3,0.6577999999999999,0.005828378848359091,65.78,0.582837884835909,1.662236064338684,0.030666537291608377
cifar100,vgg11,3,0.6222666666666666,0.005472050194701564,62.22666666666667,0.5472050194701564,1.6503462636947632,0.037682110878200975
gtsrb,resnet18,3,0.943362364740037,0.014896420467307383,94.3362364740037,1.4896420467307383,0.2597185239461284,0.07008540455086022
gtsrb,vgg11,3,0.9224069675376089,0.003781458095410828,92.24069675376089,0.3781458095410828,0.31893622610264766,0.013433216869101268
