====================================================================================================
EXISTING BASELINES VS ADAPTIVE SUMMARY
====================================================================================================
Total rows used: 360

Grouped method counts:
adaptive_feedback_tuned_v2: 72
full: 72
naive_dual: 72
single: 72
wo_invalid: 72

====================================================================================================
GROUPED MEAN ± STD
====================================================================================================
full                         | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=94.030±0.052 | valid=99.998±0.003 | wrong=0.000±0.000 | single=1.106±0.115 | invalid=1.593±0.101 | csg=98.405±0.104
full                         | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=93.970±0.105 | valid=99.416±0.199 | wrong=0.930±0.141 | single=3.391±0.210 | invalid=4.980±0.360 | csg=94.435±0.384
full                         | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=94.053±0.100 | valid=99.987±0.006 | wrong=0.030±0.017 | single=2.081±0.189 | invalid=3.189±0.294 | csg=96.797±0.299
full                         | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.473±0.127 | valid=98.429±0.456 | wrong=0.867±0.436 | single=4.032±0.403 | invalid=5.189±0.508 | csg=93.240±0.475
full                         | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=90.613±0.278 | valid=99.890±0.043 | wrong=0.100±0.033 | single=2.423±0.097 | invalid=3.046±0.093 | csg=96.844±0.075
full                         | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.800±0.210 | valid=97.658±0.599 | wrong=3.344±0.646 | single=8.754±0.423 | invalid=12.825±0.033 | csg=84.833±0.624
full                         | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.480±0.180 | valid=99.894±0.027 | wrong=0.152±0.045 | single=4.728±0.116 | invalid=7.211±0.306 | csg=92.683±0.321
full                         | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=76.073±0.227 | valid=99.197±0.170 | wrong=0.040±0.027 | single=1.149±0.305 | invalid=0.673±0.120 | csg=98.048±0.249
full                         | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=76.293±0.081 | valid=99.934±0.028 | wrong=0.003±0.006 | single=0.417±0.022 | invalid=0.456±0.024 | csg=99.478±0.027
full                         | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=76.543±0.136 | valid=98.025±0.422 | wrong=0.296±0.102 | single=2.172±0.051 | invalid=1.685±0.257 | csg=95.853±0.390
full                         | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=76.150±0.089 | valid=99.867±0.059 | wrong=0.034±0.006 | single=0.854±0.157 | invalid=1.071±0.177 | csg=98.795±0.158
full                         | cifar100  | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=68.580±0.231 | valid=98.809±0.227 | wrong=0.057±0.012 | single=1.813±0.142 | invalid=1.057±0.252 | csg=96.996±0.161
full                         | cifar100  | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=68.700±0.135 | valid=99.934±0.033 | wrong=0.007±0.012 | single=0.615±0.077 | invalid=0.705±0.047 | csg=99.228±0.055
full                         | cifar100  | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=68.657±0.021 | valid=97.991±0.517 | wrong=0.290±0.057 | single=3.388±0.217 | invalid=2.681±0.403 | csg=94.603±0.533
full                         | cifar100  | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=68.057±0.176 | valid=99.822±0.035 | wrong=0.017±0.006 | single=1.187±0.204 | invalid=1.565±0.272 | csg=98.257±0.246
full                         | gtsrb     | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=98.522±0.183 | valid=99.994±0.002 | wrong=0.008±0.014 | single=0.485±0.134 | invalid=0.292±0.075 | csg=99.509±0.136
full                         | gtsrb     | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=98.749±0.158 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.058±0.005 | invalid=0.065±0.030 | csg=99.929±0.025
full                         | gtsrb     | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=98.416±0.265 | valid=98.113±0.261 | wrong=0.894±0.611 | single=0.478±0.124 | invalid=0.329±0.127 | csg=97.133±0.580
full                         | gtsrb     | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=98.577±0.069 | valid=99.999±0.001 | wrong=0.000±0.000 | single=0.066±0.008 | invalid=0.082±0.014 | csg=99.917±0.015
full                         | gtsrb     | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=96.962±0.115 | valid=99.319±0.370 | wrong=0.056±0.076 | single=1.126±0.342 | invalid=0.430±0.056 | csg=98.192±0.672
full                         | gtsrb     | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=96.912±0.078 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.184±0.035 | invalid=0.258±0.029 | csg=99.742±0.029
full                         | gtsrb     | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=96.997±0.151 | valid=93.345±1.456 | wrong=1.866±1.886 | single=2.254±0.316 | invalid=2.247±0.072 | csg=90.408±2.399
full                         | gtsrb     | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=97.279±0.186 | valid=99.954±0.024 | wrong=0.025±0.025 | single=0.338±0.044 | invalid=0.458±0.085 | csg=99.496±0.094
naive_dual                   | cifar10   | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=94.190±0.259 | valid=99.930±0.067 | wrong=0.081±0.064 | single=49.905±4.438 | invalid=89.382±0.530 | csg=10.547±0.524
naive_dual                   | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=93.870±0.056 | valid=99.993±0.008 | wrong=0.011±0.011 | single=47.096±0.661 | invalid=89.905±0.135 | csg=10.088±0.131
naive_dual                   | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=93.893±0.085 | valid=99.913±0.027 | wrong=0.193±0.045 | single=47.158±0.122 | invalid=89.773±0.040 | csg=10.140±0.053
naive_dual                   | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=93.717±0.257 | valid=99.967±0.013 | wrong=0.096±0.046 | single=48.572±1.447 | invalid=88.699±1.945 | csg=11.268±1.941
naive_dual                   | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.693±0.195 | valid=99.676±0.022 | wrong=0.300±0.048 | single=51.482±0.753 | invalid=88.999±0.472 | csg=10.677±0.494
naive_dual                   | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=90.760±0.151 | valid=99.957±0.018 | wrong=0.044±0.019 | single=50.439±0.959 | invalid=89.848±0.140 | csg=10.109±0.136
naive_dual                   | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.763±0.184 | valid=99.715±0.125 | wrong=0.344±0.139 | single=54.015±2.552 | invalid=88.960±0.525 | csg=10.755±0.647
