variant,dataset,model,kc,poison_rate,seed,variant_run,full_feedback_run,clean_acc_variant_pct,clean_acc_full_feedback_pct,clean_acc_full_minus_variant_pp,valid_asr_variant_pct,valid_asr_full_feedback_pct,valid_asr_full_minus_variant_pp,wrong_asr_variant_pct,wrong_asr_full_feedback_pct,wrong_asr_full_minus_variant_pp,single_leak_variant_pct,single_leak_full_feedback_pct,single_leak_full_minus_variant_pp,invalid_leak_variant_pct,invalid_leak_full_feedback_pct,invalid_leak_full_minus_variant_pp,csg_variant_pct,csg_full_feedback_pct,csg_full_minus_variant_pp
equal,cifar10,vgg11,8,0.01,0,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_vgg11_kc8_pr001_seed0,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed0,90.57,90.32,-0.24999999999999467,98.30694444444444,98.64583333333333,0.3388888888888997,2.922222222222222,1.8111111111111113,1.111111111111111,8.070625,8.26375,-0.19312500000000093,12.299285714285714,13.063035714285714,-0.7637500000000006,86.00765873015872,85.58279761904761,-0.4248611111111078
equal,gtsrb,vgg11,8,0.01,0,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_gtsrb_vgg11_kc8_pr001_seed0,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed0,96.67458432304038,96.12034837688044,-0.5542359461599422,95.45795276135951,95.94806925788622,0.49011649652670464,0.5709487825356843,2.0486985726280436,-1.4777497900923595,2.072446555819478,2.9047901821060966,-0.8323436262866191,2.598970704671417,3.075443954303812,-0.4764732496323948,92.85898205668809,92.8726253035824,0.013643246894312622
equal,cifar100,vgg11,8,0.01,0,cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar100_vgg11_kc8_pr001_seed0,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed0,68.11,67.5,-0.6099999999999994,96.45833333333333,97.1628787878788,0.7045454545454577,0.36363636363636365,0.393939393939394,-0.030303030303030325,3.84,4.023125,-0.18312500000000065,3.4541071428571426,3.2557142857142853,0.1983928571428574,92.61833333333334,93.13975378787879,0.5214204545454515
equal,cifar10,resnet18,8,0.01,0,cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_resnet18_kc8_pr001_seed0,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed0,93.92,93.67,-0.2500000000000058,99.4736111111111,99.72638888888889,0.25277777777779065,0.6333333333333333,0.6444444444444445,-0.01111111111111113,3.31875,3.094375,0.22437500000000027,4.9575000000000005,4.697500000000001,0.2599999999999998,94.5161111111111,95.0288888888889,0.5127777777777953
equal,cifar10,vgg11,8,0.01,1,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_vgg11_kc8_pr001_seed1,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed1,90.60000000000001,90.61,0.009999999999998899,97.81111111111112,97.91666666666667,0.10555555555555873,3.3222222222222224,2.522222222222222,0.8,8.9,8.17,0.7300000000000001,13.054107142857143,11.839464285714286,1.2146428571428585,84.75700396825397,86.07720238095239,1.3201984126984145
equal,gtsrb,vgg11,8,0.01,1,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_gtsrb_vgg11_kc8_pr001_seed1,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed1,96.71417260490894,97.19714964370546,0.4829770387965171,94.01434925788175,93.55174283747154,-0.4626064204102054,1.2121212121212122,1.1363636363636365,0.07575757575757572,2.0773950910530483,3.2026920031670625,-1.1252969121140142,1.9606096595407758,2.630641330166271,-0.6700316706254952,91.9369541668287,90.34905083430448,-1.587903332524221
equal,cifar100,vgg11,8,0.01,1,cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar100_vgg11_kc8_pr001_seed1,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed1,67.75999999999999,67.61,-0.14999999999999458,97.33838383838383,98.62373737373737,1.2853535353535284,0.36363636363636365,0.393939393939394,-0.030303030303030325,4.501875,2.5250000000000004,1.9768750000000002,2.9448214285714287,1.9732142857142858,0.9716071428571428,92.83650883838384,96.09873737373736,3.2622285353535285
equal,cifar10,resnet18,8,0.01,1,cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_resnet18_kc8_pr001_seed1,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed1,94.31,94.15,-0.16000000000000458,99.53472222222223,99.60138888888889,0.06666666666667043,0.8,0.5888888888888889,0.21111111111111114,2.71125,2.88625,-0.17499999999999982,4.074642857142857,4.356964285714286,-0.2823214285714283,95.46007936507937,95.24442460317462,-0.21565476190474886
equal,cifar10,vgg11,8,0.01,2,cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_vgg11_kc8_pr001_seed2,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed2,90.84,90.5,-0.33999999999999586,97.52777777777779,98.1222222222222,0.5944444444444197,3.5777777777777775,3.3000000000000003,0.27777777777777746,9.346875,8.576875000000001,0.7699999999999998,13.229107142857144,12.721964285714286,0.5071428571428588,84.29867063492065,85.40025793650793,1.1015873015872812
equal,gtsrb,vgg11,8,0.01,2,gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_gtsrb_vgg11_kc8_pr001_seed2,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed2,96.7458432304038,97.20506730007918,0.459224069675368,93.4919854025133,95.42760928220532,1.9356238796920278,2.112794612794613,1.3711001642036125,0.7416944485910003,2.178840063341251,2.3406571654790183,-0.1618171021377672,2.256956226671191,2.049400520303133,0.20755570636805803,91.23502917584212,93.08695211672631,1.8519229408841986
