variant,run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
no_ema,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0/summary.json,gtsrb,vgg11,8,0.01,0,0.9656373713380839,0.9639242113419427,0.005961376994122586,0.03318982581155978,0.03439514760773668,0.9295290637342061,0.6037735849056604,2.1886792452830193,0.6037735849056604,0.6037735849056604
no_ema,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0/summary.json,cifar100,vgg11,8,0.01,0,0.6726,0.9742803030303029,0.0037373737373737376,0.0200875,0.022416071428571428,0.9518642316017315,0.658647523892841,2.0240574283214774,0.658647523892841,0.658647523892841
no_ema,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0/summary.json,cifar10,resnet18,8,0.01,0,0.9331,0.9946666666666666,0.009777777777777778,0.0287875,0.04307678571428571,0.9515898809523808,0.947492494890161,1.1575225153295172,0.947492494890161,0.947492494890161
no_ema,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1/summary.json,cifar10,vgg11,8,0.01,1,0.8991,0.9892777777777777,0.01577777777777778,0.0756625,0.11751607142857143,0.8717617063492062,0.44158672645315505,0.9001386971930093,0.556094988912153,2.1021795874416824
no_ema,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1/summary.json,gtsrb,vgg11,8,0.01,1,0.967458432304038,0.9444360278255074,0.008910103420843278,0.028468923198733176,0.026856407646193868,0.9159671046267742,0.6037735849056604,2.1886792452830193,0.6037735849056604,0.6037735849056604
no_ema,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1/summary.json,cifar100,vgg11,8,0.01,1,0.6758,0.9743434343434343,0.0035353535353535356,0.0318875,0.02285,0.9424559343434343,0.66191871411929,2.0142438576421298,0.66191871411929,0.66191871411929
no_ema,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1/summary.json,cifar10,resnet18,8,0.01,1,0.9334,0.9971388888888889,0.006222222222222222,0.0274125,0.04062321428571428,0.9565156746031747,1.0,1.0,1.0,1.0
no_ema,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2/summary.json,cifar10,vgg11,8,0.01,2,0.8967,0.9915555555555555,0.013444444444444445,0.07625,0.11991964285714286,0.8716359126984127,0.5198246668769494,0.5198246668769494,0.8164441772450615,2.1439064890010395
no_ema,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2/summary.json,gtsrb,vgg11,8,0.01,2,0.967458432304038,0.9484983052931135,0.01670843776106934,0.025336500395882817,0.022135505033367267,0.9231618048972307,0.6037735849056604,2.1886792452830193,0.6037735849056604,0.6037735849056604
no_ema,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2/summary.json,cifar100,vgg11,8,0.01,2,0.675,0.9838888888888888,0.0009090909090909091,0.0298125,0.030055357142857144,0.9538335317460317,0.9556285007280099,1.13311449781597,0.9556285007280099,0.9556285007280099
no_ema,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2/summary.json,cifar10,resnet18,8,0.01,2,0.9388,0.9958888888888889,0.005888888888888889,0.02903125,0.04630714285714286,0.949581746031746,1.0,1.0,1.0,1.0
